image_id,feature_id,rights_status_before,rights_status_after,rights_holder,license_type,publication_permission,attribution_required,source_credit,evidence_type,evidence_relative_path,evidence_description,evidence_confidence,institutional_confirmation_required,notes
IMG-BB1595B24E64B47B,LY-AKA-000007,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-285EB2A8E7B3937D,LY-AKA-000007,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-868B54C6ED9FA176,LY-AKA-000008,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-26E6D2213C310A4B,LY-AKA-000008,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-91DC81ED4F81115E,LY-AKA-000009,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-4CF039CFE632E1AE,LY-AKA-000009,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-E99EF535E084184C,LY-AKA-000010,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-BB80552A00B503C7,LY-AKA-000010,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-EA21F41CC2974D82,LY-AKA-000011,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-88FFA70148510022,LY-AKA-000011,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-BE0CB3D8E6BD1A40,LY-AKA-000012,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-E2AFBD92CE0D195F,LY-AKA-000012,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-CCB20E326BA10BCC,LY-AKA-000013,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-D7304010670B6676,LY-AKA-000013,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-FE005B51516F9E12,LY-AKA-000014,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-006344B4761C5D72,LY-AKA-000014,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-DA62F0242AEA478C,LY-AKA-000016,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-6CD0CFD90939A291,LY-AKA-000016,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-42477E3B530F1B24,LY-AKA-000017,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-98895A5245017107,LY-AKA-000017,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-C6FF601D9462EF6A,LY-AKA-000018,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-A28418CF13F02997,LY-AKA-000018,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-7308AB91EC5133CA,LY-AKA-000019,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-E68C5524026BFC18,LY-AKA-000019,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-83D131761F7EA25D,LY-AKA-000020,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-3BFE174325C444CE,LY-AKA-000020,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-B45F567D113D9D86,LY-AKA-000021,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-C8132570EE97B6C9,LY-AKA-000021,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-AC0D675910C9E48B,LY-AKA-000022,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-72DEF054B277BD9C,LY-AKA-000022,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-E18F2DAE0868EC75,LY-AKA-000023,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-B7DBCB02F2C1F899,LY-AKA-000023,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-7B82F05348DEFDD5,LY-AKA-000028,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-A804CB0C1113807F,LY-AKA-000028,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-5FDD5A2FFBF59DBF,LY-AKA-000028,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-43E5D7C28F80D864,LY-AKA-000028,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-AC89DDC21CE84AE0,LY-AKA-000029,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-D52E10EE98F1156C,LY-AKA-000029,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-3A5DE817DBAE2AD4,LY-AKA-000030,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-535DA87DC202F119,LY-AKA-000030,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-B7FA7495843EC68C,LY-AKA-000031,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-5EA11A80C94E682F,LY-AKA-000031,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-1B31D51FCAA1AFD4,LY-AKA-000032,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-828F955698E0AF41,LY-AKA-000032,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-AD1BBA82C39EE092,LY-AKA-000035,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-735BFF9D2EF1E739,LY-AKA-000035,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-AF6A7473582953C1,LY-AKA-000035,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-794F968B8A93D36D,LY-AKA-000035,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-59BD0D3A8231D05C,LY-AKA-000037,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-38E67ACEE9E21ECC,LY-AKA-000037,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-C7416BED2AF2267C,LY-AKA-000037,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-02A79C9AE3EE7189,LY-AKA-000037,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-26ADEB0254C1DEB2,LY-AKA-000039,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-3B00131BE0EA1D4F,LY-AKA-000039,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-7FFC0456721AEB45,LY-AKA-000040,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-84CCF451CA28025F,LY-AKA-000040,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-10EFC2ADB35883A3,LY-AKA-000041,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-B2789EEAC82A75EB,LY-AKA-000041,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-7D169C39C268165D,LY-AKA-000043,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-774DCB5D58949930,LY-AKA-000043,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-7081075BA4E2C8AE,LY-AKA-000043,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-2AC82828FB2D9897,LY-AKA-000043,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-4CE555A680866449,LY-AKA-000049,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-B25B3B99D10A18CF,LY-AKA-000049,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-EE7F408CE9AABF02,LY-AKA-000106,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-5B72C92E56F99A85,LY-AKA-000106,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-A72875D7BA428936,LY-AKA-000148,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-D92A2660BAB035A9,LY-AKA-000148,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-E9D68E93DA77F5A1,LY-AKA-000155,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-CB5999B485A45C9A,LY-AKA-000155,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-3795EF0B47BCE1DA,LY-AKA-000156,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-F198FCB7F6604A43,LY-AKA-000156,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-83CBDF41FD9FE301,LY-AKA-000160,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-3C4745D64C3979D6,LY-AKA-000160,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-780745C91D8C7059,LY-AKA-000191,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-19ED505A8B9BD0D4,LY-AKA-000191,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-C743A18B7F69C496,LY-AKA-000192,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-0A7422737A37F32A,LY-AKA-000192,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-29052066CBAB58BD,LY-AKA-000193,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-A31A21332E3D570D,LY-AKA-000193,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-69F35D48D1B7CCC0,LY-AKA-000196,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-166273FEAF9EBFED,LY-AKA-000196,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-7FE62CC1ED6C3624,LY-TRI-000001,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-12C8B751B87BB53E,LY-TRI-000001,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-2894EE17544E506A,LY-TRI-000001,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-892FDD66D4A47F42,LY-TRI-000001,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-0661E15C60ECDB0C,LY-TRI-000001,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-603C105CDB0F4B08,LY-TRI-000001,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-0908F72F328C1650,LY-TRI-000001,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-25D68671AFD0FF9D,LY-TRI-000001,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-F7B0716373078F89,LY-TRI-000001,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-02BC9E677A271976,LY-TRI-000001,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-AC99A52B6827C26B,LY-TRI-000001,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-364EA429A03968F5,LY-TRI-000001,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-44603CEBF7DBE16B,LY-TRI-000001,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-ED7A5BF7C63CA136,LY-TRI-000001,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-A37ABCFA046AA72D,LY-TRI-000002,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-0661E15C60ECDB0C,LY-TRI-000002,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-3D8063B2DA062334,LY-TRI-000003,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-8CB608CE7027EC80,LY-TRI-000003,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-711E037C8C357339,LY-TRI-000003,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-C5FE38FD5AA315C0,LY-TRI-000003,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-1C8DF58427090266,LY-TRI-000003,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-AFEA38961E2C90A9,LY-TRI-000003,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-47C56959862E351B,LY-TRI-000003,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-B77B7A7341EFAA57,LY-TRI-000003,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-A8FB24DE9BD72741,LY-TRI-000004,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-4885C5B7651D9C16,LY-TRI-000004,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-473CAE5715AC1422,LY-TRI-000004,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-2894EE17544E506A,LY-TRI-000004,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-5A1EC414EB91FE6F,LY-TRI-000005,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-7EC12E574214ED44,LY-TRI-000005,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-9A6AE28FD743B90D,LY-TRI-000006,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-F7C0EFB0F242382A,LY-TRI-000006,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-DCDF7D8F7B0AC52E,LY-TRI-000007,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-29E96B6431598A01,LY-TRI-000007,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-78DB961981521805,LY-TRI-000007,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-29C9E18BA690A311,LY-TRI-000007,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-479D6E4FE7C96862,LY-TRI-000008,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-ADB4ACB7FC7AE889,LY-TRI-000008,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-8C73CDBD858F3FDB,LY-TRI-000008,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-57B470C105DF6993,LY-TRI-000008,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-36B449CAE3D56E62,LY-TRI-000008,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-E2ACA8E28F5EB6E9,LY-TRI-000008,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-932666BD8CF6BC6C,LY-TRI-000009,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-17F7E21134AD23DC,LY-TRI-000009,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-DCC19D1A20F2533F,LY-TRI-000010,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-B8C0045ED335B7F5,LY-TRI-000010,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-11661A314612D701,LY-TRI-000011,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-3FB555C47AE9B333,LY-TRI-000011,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-52F55662E5E34A11,LY-TRI-000012,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-0079221F38849F42,LY-TRI-000012,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-2B30E4679B35928B,LY-TRI-000012,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-8E68E5FB895DE79D,LY-TRI-000012,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-CF8255C6AAF841FC,LY-TRI-000012,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
IMG-2268FCB6FDD60DC0,LY-TRI-000012,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,No explicit local permission document linked to candidate.,high,true,Repository or folder presence is insufficient.
