"file","layer","placemarks","valid_coordinates","missing_coordinates","points_with_images","points_without_images","google_links","local_images","broken_links","duplicates","fields","categories","bounds"
"data/kml/localized/old-tripoli-localized.kml","المدينة القديمة _طرابلس","430","430","0","114","316","245","0","0","19","En|area|bridge|code|fclass|gx_media_links|layer|maxspeed|oneway|osm_id|tunnel|العنوان|النوع|الوصف|معلومات اخرى","","32.888187,13.163909 .. 32.904519,13.199778"
"data/kml/national-atlas.kml","gis_osm_pois_free_1","24486","24486","0","0","24486","0","0","0","38","code|fclass|osm_id|x|y","","20.5478554,9.4109501 .. 33.1532774,25.1374284"
"data/kml/old-tripoli-local-images.kml","المدينة القديمة _طرابلس","83","83","0","45","38","95","12","0","0","En|area|gx_media_links|العنوان|النوع|الوصف|معلومات اخرى","","32.893444,13.171564 .. 32.900769,13.18111"
"data/kml/old-tripoli.kml","المدينة القديمة _طرابلس","83","83","0","45","38","83","0","0","0","En|area|gx_media_links|العنوان|النوع|الوصف|معلومات اخرى","","32.893444,13.171564 .. 32.900769,13.18111"
"data/kml/resorts.kml","القرى_والمنتجعات السياحية_LY","122","122","0","89","33","134","0","0","0","__________|______________|___________________|_____________________|_______________________|_________________________|_____________________________|_______________________________|_________________________________________|____________________________________________|extrude|gx_media_links|tessellate|visibility|الوصف","","31.207768,11.97922 .. 32.998387,23.959161"
"data/kml/world-heritage-local-images.kml","مواقع التراث العالمي الخمسة_LY","207","206","1","21","186","86","34","0","1","EN_NAME|FID|PopupInfo|city|en_name|gx_media_links|info|photo|popupinfo|x|y|الاسم باللغة الانجليزية|التصنيف|الصور|المدينة|الوصف","","24.680846,9.4714854 .. 32.908835,22.2794312"
"data/kml/world-heritage.kml","مواقع التراث العالمي الخمسة_LY","207","206","1","21","186","52","0","0","1","EN_NAME|FID|PopupInfo|city|en_name|gx_media_links|info|photo|popupinfo|x|y|الاسم باللغة الانجليزية|التصنيف|الصور|المدينة|الوصف","","24.680846,9.4714854 .. 32.908835,22.2794312"
"data/kml/اكاكوس.kml","اكاكوس","199","197","2","43","156","47","0","0","0","X|X_COORD|Y|gx_media_links|id|source|الاسم باللغة الانجليزية|التصنيف|الكود|الوصف","","23.49846,9.422547 .. 26.526341,13.5070249"
"data/kml/الفنادق_LY.kml","الفنادق_LY","572","572","0","239","333","861","0","0","44","Mun|X|Y|description|gx_media_links|x|الاتصال|الاسم باللغة الانجليزية|التصنيف|الخدمات|العنوان|الفئة|المدينـــة|الهـــاتف|الوصف|ت|خدمات|رمز الدولة|عدد الغرف|عــــدد الأسرة|عــــدد الغرف|عنــوان المرفـــــق|نطاق الأسعار|نطاق الاسعار|وسائل اتصال|وسائل الاتصال|وصف المرفق","","24.958349,9.1691024 .. 32.933887,25.087399"
"data/kml/المدينة القديمة _طرابلس.kml","المدينة القديمة _طرابلس","430","430","0","114","316","245","0","0","19","En|area|bridge|code|fclass|gx_media_links|layer|maxspeed|oneway|osm_id|tunnel|العنوان|النوع|الوصف|معلومات اخرى","","32.888187,13.163909 .. 32.904519,13.199778"
