review_case_id,feature_id,layer_id,name_ar,review_reason_codes,priority,current_value,issue_description,required_action,required_entity,suggested_collection_method,evidence_available,automatic_resolution_possible,manual_review_required,status,notes
REV-00079,LY-FNB-CAF-TRI-00061,tripoliCafes,Cafe Bali,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00080,LY-FNB-CAF-TRI-00062,tripoliCafes,حلويات اتش دبليو,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00081,LY-FNB-CAF-TRI-00063,tripoliCafes,اوميجا كلوب,classification_review|license_review,P2,review_required,Multiple reasons,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00082,LY-FNB-CAF-TRI-00064,tripoliCafes,قهوة القصور,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00083,LY-FNB-CAF-TRI-00065,tripoliCafes,ثراء,classification_review|license_review,P2,review_required,Multiple reasons,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00084,LY-FNB-CAF-TRI-00066,tripoliCafes,ديب ان ديب ليبيا,classification_review|license_review,P2,review_required,Multiple reasons,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00085,LY-FNB-CAF-TRI-00067,tripoliCafes,فيول كافي,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00086,LY-FNB-CAF-TRI-00068,tripoliCafes,كافي سويت,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00087,LY-FNB-CAF-TRI-00069,tripoliCafes,شيك أب,classification_review|license_review,P2,review_required,Multiple reasons,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00088,LY-FNB-CAF-TRI-00070,tripoliCafes,الحاج فتحي,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00089,LY-FNB-CAF-TRI-00071,tripoliCafes,ساموراي,classification_review|license_review,P2,review_required,Multiple reasons,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00090,LY-FNB-CAF-TRI-00072,tripoliCafes,مقهى ومطعم فلانيل,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00091,LY-FNB-CAF-TRI-00073,tripoliCafes,بونو كافيه,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00092,LY-FNB-CAF-TRI-00074,tripoliCafes,مقهى رواق الوليد,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00093,LY-FNB-CAF-TRI-00075,tripoliCafes,1ONE DEGREE CAFE,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00094,LY-FNB-CAF-TRI-00076,tripoliCafes,كافي 33,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00095,LY-FNB-CAF-TRI-00077,tripoliCafes,Doctor Sweets,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00096,LY-FNB-CAF-TRI-00078,tripoliCafes,مقهى عصام,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00097,LY-FNB-CAF-TRI-00079,tripoliCafes,بولو كافي,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00098,LY-FNB-CAF-TRI-00080,tripoliCafes,براند كافي,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
REV-00099,LY-FNB-CAF-TRI-00081,tripoliCafes,روبوستا كافي,license_review,P3,review_required,license_review,institutional verification of flagged fields,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,authoritative registry or direct verification,true,false,true,open,Required entity is not asserted as current data source.
