case_id,layer_id,record_a_id,record_a_name,record_b_id,record_b_name,distance_meters,name_similarity,geometry_relationship,previous_classification,final_classification,canonical_id,retired_id,action,confidence,decision_basis,fields_transferred,conflicting_fields,legacy_ids_preserved,requires_manual_review,notes
DUP-0011,hotels,LY-HOT-000052,فندق الدوحة,LY-HOT-000433,فندق الدوحة,19.7,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0012,hotels,LY-HOT-000053,فندق الديار,LY-HOT-000434,فندق الديار,2.7,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0013,hotels,LY-HOT-000054,فندق الرابطة,LY-HOT-000340,فندق الرابطة,3.6,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0014,hotels,LY-HOT-000055,فندق الرفيع,LY-HOT-000442,فندق الرفيع,12.7,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0015,hotels,LY-HOT-000056,فندق الريان,LY-HOT-000444,فندق الريان,3.6,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0016,hotels,LY-HOT-000057,فندق الزهر,LY-HOT-000139,فندق الزهر,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000057,LY-HOT-000139,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0017,hotels,LY-HOT-000059,فندق السرايا,LY-HOT-000141,فندق السرايا,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000059,LY-HOT-000141,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",missing_fields,,true,false,No automatic deletion without strict identity evidence.
DUP-0018,hotels,LY-HOT-000061,فندق السندباد,LY-HOT-000453,فندق السندباد,4.7,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0019,hotels,LY-HOT-000062,فندق الشجرة,LY-HOT-000455,فندق الشجرة,14.8,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0020,hotels,LY-HOT-000064,فندق الشمس,LY-HOT-000456,فندق الشمس,8.8,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0021,hotels,LY-HOT-000065,فندق الصفوة,LY-HOT-000572,فندق الصفوة,16.7,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0022,hotels,LY-HOT-000066,فندق الصناعية مصراتة,LY-HOT-000147,فندق الصناعية مصراتة,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000066,LY-HOT-000147,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0023,hotels,LY-HOT-000067,فندق الصولجان,LY-HOT-000459,فندق الصولجان,1.9,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0024,hotels,LY-HOT-000068,فندق العاصمة,LY-HOT-000462,فندق العاصمة,23.3,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0025,hotels,LY-HOT-000071,فندق القوس,LY-HOT-000470,فندق القوس,11.8,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0026,hotels,LY-HOT-000073,فندق الكرومة,LY-HOT-000156,فندق الكرومة,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000073,LY-HOT-000156,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0027,hotels,LY-HOT-000076,فندق المدينة,LY-HOT-000161,فندق المدينة,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000076,LY-HOT-000161,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0028,hotels,LY-HOT-000077,فندق المشكاة,LY-HOT-000165,فندق المشكاة,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000077,LY-HOT-000165,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",address_ar|city_ar|municipality_ar|phone,,true,false,No automatic deletion without strict identity evidence.
DUP-0029,hotels,LY-HOT-000077,فندق المشكاة,LY-HOT-000482,فندق المشكاة,11.3,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0030,hotels,LY-HOT-000078,فندق المنامة,LY-HOT-000483,فندق المنامة,29.0,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0031,hotels,LY-HOT-000081,فندق النهر,LY-HOT-000486,فندق النهر,4.9,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0032,hotels,LY-HOT-000082,فندق الهنشيري,LY-HOT-000173,فندق الهنشيري,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000082,LY-HOT-000173,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0033,hotels,LY-HOT-000083,فندق الهيشة,LY-HOT-000174,فندق الهيشة,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000083,LY-HOT-000174,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0034,hotels,LY-HOT-000084,فندق الواحات,LY-HOT-000175,فندق الواحات,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000084,LY-HOT-000175,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0035,hotels,LY-HOT-000084,فندق الواحات,LY-HOT-000490,فندق الواحات,3.5,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0036,hotels,LY-HOT-000085,فندق الياسمين,LY-HOT-000177,فندق الياسمين,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000085,LY-HOT-000177,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0037,hotels,LY-HOT-000086,فندق أجنحة قرطاج,LY-HOT-000185,فندق أجنحة قرطاج,10.2,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0038,hotels,LY-HOT-000088,فندق بنت السيد,LY-HOT-000197,فندق بنت السيد,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000088,LY-HOT-000197,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0039,hotels,LY-HOT-000089,فندق بودلغوسة,LY-HOT-000199,فندق بودلغوسة,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000089,LY-HOT-000199,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0040,hotels,LY-HOT-000091,فندق بيت الشرق,LY-HOT-000510,فندق بيت الشرق,14.7,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0041,hotels,LY-HOT-000092,فندق تابكت,LY-HOT-000200,فندق تابكت,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000092,LY-HOT-000200,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0042,hotels,LY-HOT-000097,فندق ريكسوس,LY-HOT-000213,فندق ريكسوس,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000097,LY-HOT-000213,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0043,hotels,LY-HOT-000098,فندق زليتن,LY-HOT-000214,فندق زليتن,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000098,LY-HOT-000214,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0044,hotels,LY-HOT-000099,فندق زميت,LY-HOT-000215,فندق زميت,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000099,LY-HOT-000215,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0045,hotels,LY-HOT-000100,فندق زوارة,LY-HOT-000217,فندق زوارة,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000100,LY-HOT-000217,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0046,hotels,LY-HOT-000101,فندق سرايا الليبو,LY-HOT-000219,فندق سرايا الليبو,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000101,LY-HOT-000219,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0047,hotels,LY-HOT-000103,فندق سفاري 2,LY-HOT-000220,فندق سفاري 2,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000103,LY-HOT-000220,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0048,hotels,LY-HOT-000104,فندق شروق افريقيا,LY-HOT-000222,فندق شروق افريقيا,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000104,LY-HOT-000222,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0049,hotels,LY-HOT-000105,فندق ضيافة ونيس,LY-HOT-000224,فندق ضيافة ونيس,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000105,LY-HOT-000224,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0050,hotels,LY-HOT-000105,فندق ضيافة ونيس,LY-HOT-000530,فندق ضيافة ونيس,10.3,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0051,hotels,LY-HOT-000106,فندق طرابلس الدولي,LY-HOT-000531,فندق طرابلس الدولى,16.7,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0052,hotels,LY-HOT-000107,فندق طليطلة,LY-HOT-000225,فندق طليطلة,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000107,LY-HOT-000225,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0053,hotels,LY-HOT-000107,فندق طليطلة,LY-HOT-000532,فندق طليطلة,22.0,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0054,hotels,LY-HOT-000108,فندق طيبة,LY-HOT-000533,فندق طيبة,3.9,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0055,hotels,LY-HOT-000109,فندق عمير,LY-HOT-000534,فندق عمير,12.5,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0056,hotels,LY-HOT-000111,فندق غابة الكشافة,LY-HOT-000227,فندق غابة الكشافة,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000111,LY-HOT-000227,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0057,hotels,LY-HOT-000112,فندق غريان السياحي,LY-HOT-000228,فندق غريان السياحي,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000112,LY-HOT-000228,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0058,hotels,LY-HOT-000112,فندق غريان السياحي,LY-HOT-000342,فندق غريان السياحي,1.0,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0059,hotels,LY-HOT-000113,فندق قرطاج,LY-HOT-000231,فندق قرطاج,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000113,LY-HOT-000231,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0060,hotels,LY-HOT-000114,فندق قصر الظهرة,LY-HOT-000233,فندق قصر الظهرة,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000114,LY-HOT-000233,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0061,hotels,LY-HOT-000115,فندق قصر الفيروز,LY-HOT-000235,فندق قصر الفيروز,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000115,LY-HOT-000235,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0062,hotels,LY-HOT-000116,فندق قمر صبراتة,LY-HOT-000240,فندق قمر صبراتة,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000116,LY-HOT-000240,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0063,hotels,LY-HOT-000117,فندق كونتنتال,LY-HOT-000242,فندق كونتنتال,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000117,LY-HOT-000242,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0064,hotels,LY-HOT-000119,فندق ليالي قرطاج,LY-HOT-000244,فندق ليالي قرطاج,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000119,LY-HOT-000244,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0065,hotels,LY-HOT-000121,فندق مادي الحسان,LY-HOT-000245,فندق مادي الحسان,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000121,LY-HOT-000245,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0066,hotels,LY-HOT-000122,فندق واستراحة جادو,LY-HOT-000248,فندق واستراحة جادو,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000122,LY-HOT-000248,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0067,hotels,LY-HOT-000124,فندق ومطعم النزهة,LY-HOT-000249,فندق ومطعم النزهة,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000124,LY-HOT-000249,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0068,hotels,LY-HOT-000125,فندق يفرن,LY-HOT-000250,فندق يفرن,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000125,LY-HOT-000250,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0069,hotels,LY-HOT-000126,طرابلس للشقق الفندقية,LY-HOT-000255,طرابلس للشقق الفندقية,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000126,LY-HOT-000255,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0070,hotels,LY-HOT-000127,نزل طرابلس الحديث,LY-HOT-000259,نزل طرابلس الحديث,0.0,1,within_layer_proximity,confirmed_duplicate,true_duplicate,LY-HOT-000127,LY-HOT-000259,merge_into_canonical,high,"Exact normalized name, byte-equivalent geometry, and identical type",,,true,false,No automatic deletion without strict identity evidence.
DUP-0071,hotels,LY-HOT-000130,فندق البتراء,LY-HOT-000421,فندق البتراء,22.3,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0072,hotels,LY-HOT-000137,فندق الخان الطرابلسي,LY-HOT-000428,فندق الخان الطرابلسي,0.9,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0073,hotels,LY-HOT-000157,فندق المبروك,LY-HOT-000476,فندق المبروك,22.4,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0074,hotels,LY-HOT-000165,فندق المشكاة,LY-HOT-000482,فندق المشكاة,11.3,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0075,hotels,LY-HOT-000169,فندق النخلة السياحي,LY-HOT-000485,فندق النخلة السياحي,13.0,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0076,hotels,LY-HOT-000175,فندق الواحات,LY-HOT-000490,فندق الواحات,3.5,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0077,hotels,LY-HOT-000176,فندق الوادي,LY-HOT-000491,فندق الوادي,21.8,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0078,hotels,LY-HOT-000178,فندق الياقوتة,LY-HOT-000494,فندق الياقوتة,7.0,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0079,hotels,LY-HOT-000181,فندق اليمامة,LY-HOT-000571,فندق اليمامة,3.0,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0080,hotels,LY-HOT-000189,فندق أكاكوس,LY-HOT-000417,فندق اكاكوس,5.8,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0081,hotels,LY-HOT-000192,فندق أويا,LY-HOT-000390,فندق أويا,20.2,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0082,hotels,LY-HOT-000193,فندق باب البحر,LY-HOT-000502,فندق باب البحر,12.1,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0083,hotels,LY-HOT-000196,فندق بلازما,LY-HOT-000506,فندق بلازما,5.8,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0084,hotels,LY-HOT-000203,فندق جاكرتا,LY-HOT-000515,فندق جاكرتا,8.3,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0085,hotels,LY-HOT-000212,فندق ريباس,LY-HOT-000292,فندق ريباس,16.2,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0086,hotels,LY-HOT-000224,فندق ضيافة ونيس,LY-HOT-000530,فندق ضيافة ونيس,10.3,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0087,hotels,LY-HOT-000225,فندق طليطلة,LY-HOT-000532,فندق طليطلة,22.0,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0088,hotels,LY-HOT-000228,فندق غريان السياحي,LY-HOT-000342,فندق غريان السياحي,1.0,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0089,hotels,LY-HOT-000241,فندق قورينا,LY-HOT-000544,فندق قورينا,7.2,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0090,hotels,LY-HOT-000247,فندق هارون,LY-HOT-000543,فندق هارون,8.1,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0091,hotels,LY-HOT-000263,فندق المختار,LY-HOT-000481,فندق المختار,4.0,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0092,hotels,LY-HOT-000268,فندق الفصول الاربعة 3,LY-HOT-000467,فندق الفصول الأربعة ( 3 ),12.3,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0093,hotels,LY-HOT-000270,فندق المتوسط,LY-HOT-000477,فندق المتوسط,8.0,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0094,hotels,LY-HOT-000270,فندق المتوسط,LY-HOT-000478,فندق المتوسط,9.0,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0095,hotels,LY-HOT-000270,فندق المتوسط,LY-HOT-000479,فندق المتوسط,8.0,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
DUP-0096,hotels,LY-HOT-000270,فندق المتوسط,LY-HOT-000480,فندق المتوسط,9.0,1,within_layer_proximity,confirmed_duplicate,probable_duplicate,,,defer_for_review,medium,Evidence does not prove one entity,,,,true,No automatic deletion without strict identity evidence.
