relationship_id,record_a_layer,record_a_id,record_a_name,record_b_layer,record_b_id,record_b_name,relationship_type,relationship_status,distance_meters,name_similarity,spatial_relationship,confidence,recommended_display_behavior,requires_manual_review,notes
REL-00011,hotels,LY-HOT-000006,فندق المنارة,investment,LY-INV-HOT-NAT-00001,فندق المنارة,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00012,hotels,LY-HOT-000007,فندق لؤلؤة الخليج,investment,LY-INV-HOT-BAY-00002,فندق لؤلؤة الخليج,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00013,hotels,LY-HOT-000008,فندق التلال الوسيطة البيضاء,investment,LY-INV-HOT-BAY-00003,فندق التلال الوسيطة البيضاء,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00014,hotels,LY-HOT-000009,العنود للشقق الفندقية,investment,LY-INV-HOT-NAT-00002,العنود للشقق الفندقية,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00015,hotels,LY-HOT-000010,فندق الثريا,investment,LY-INV-HOT-NAT-00003,فندق الثريا,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00016,hotels,LY-HOT-000011,منتجع الينابيع السياحي,investment,LY-INV-RES-NAT-00038,منتجع الينابيع السياحي,facility_and_investment_project,probable,44.1,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00017,hotels,LY-HOT-000011,منتجع الينابيع السياحي,investment,LY-INV-EXP-SHA-00001,منتجع الينابيع السياحي,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00018,hotels,LY-HOT-000012,فندق برقة,investment,LY-INV-HOT-NAT-00004,فندق برقة,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00019,hotels,LY-HOT-000013,فندق الهديل,investment,LY-INV-HOT-NAT-00005,فندق الهديل,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00020,hotels,LY-HOT-000017,فندق فكتوريا,investment,LY-INV-HOT-TRI-00004,فندق فكتوريا,facility_and_investment_project,probable,0.1,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00021,hotels,LY-HOT-000018,فندق الطاووس,investment,LY-INV-HOT-TRI-00005,فندق الطاووس,facility_and_investment_project,probable,0.1,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00022,hotels,LY-HOT-000019,فندق الودان,investment,LY-INV-HOT-TRI-00007,فندق الودان,facility_and_investment_project,probable,56.1,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00023,hotels,LY-HOT-000021,فندق سان جورج,investment,LY-INV-HOT-TOB-00003,فندق سان جورج,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00024,hotels,LY-HOT-000023,بيوت الشباب,investment,LY-INV-REV-SHA-00001,بيوت الشباب,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00025,hotels,LY-HOT-000024,فندق بلاغراي السياحي ( التلال سابقا ),investment,LY-INV-HOT-BAY-00004,فندق بلاغراي السياحي ( التلال سابقا ),facility_and_investment_project,probable,0.1,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00026,hotels,LY-HOT-000025,منتجع ايميليا,investment,LY-INV-RES-DER-00003,منتجع ايميليا,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00027,hotels,LY-HOT-000026,منتجع وموتيل الأمان,investment,LY-INV-RES-SHA-00002,منتجع وموتيل الأمان 1,facility_and_investment_project,probable,44.4,0.971,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00028,hotels,LY-HOT-000026,منتجع وموتيل الأمان,investment,LY-INV-RES-SHA-00011,منتجع وموتيل الأمان,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00029,hotels,LY-HOT-000028,نالوت غدامس فندق باب العز,investment,LY-INV-HOT-GHA-00004,نالوت غدامس فندق باب العز,facility_and_investment_project,probable,0.1,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00030,hotels,LY-HOT-000029,فندق أبراج الوسطى,investment,LY-INV-HOT-NAT-00006,فندق أبراج الوسطى,facility_and_investment_project,probable,164.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00031,hotels,LY-HOT-000030,فندق طيبة,investment,LY-INV-HOT-SEB-00001,فندق طيبة,facility_and_investment_project,probable,67.9,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00032,hotels,LY-HOT-000031,فندق قصر الفيروز,investment,LY-INV-HOT-TRI-00009,فندق قصر الفيروز,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00033,hotels,LY-HOT-000033,فندق ابونواس,investment,LY-INV-HOT-NAT-00007,فندق ابونواس,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00034,hotels,LY-HOT-000034,فندق احواص,investment,LY-INV-HOT-NAT-00008,فندق احواص,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00035,hotels,LY-HOT-000035,فندق الانوار,investment,LY-INV-HOT-NAT-00009,فندق الانوار,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00036,hotels,LY-HOT-000036,فندق الأخوة,investment,LY-INV-HOT-TRI-00010,فندق الأخوة,facility_and_investment_project,probable,0.1,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00037,hotels,LY-HOT-000037,فندق الأصالة,investment,LY-INV-HOT-TRI-00011,فندق الأصالة,facility_and_investment_project,probable,11.8,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00038,hotels,LY-HOT-000038,فندق الأصيل,investment,LY-INV-HOT-NAT-00010,فندق الأصيل,facility_and_investment_project,probable,12.9,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00039,hotels,LY-HOT-000039,فندق الأندلس,investment,LY-INV-HOT-NAT-00011,فندق الأندلس,facility_and_investment_project,probable,12.1,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00040,hotels,LY-HOT-000040,فندق البركة,investment,LY-INV-HOT-MIS-00002,فندق البركة,facility_and_investment_project,probable,5.6,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00041,hotels,LY-HOT-000041,فندق البستان,investment,LY-INV-HOT-NAT-00012,فندق البستان,facility_and_investment_project,probable,0.1,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00042,hotels,LY-HOT-000042,التاج للشقق الفندقية,investment,LY-INV-HOT-MIS-00003,التاج للشقق الفندقية,facility_and_investment_project,probable,11.1,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00043,hotels,LY-HOT-000044,فندق الجبل,investment,LY-INV-HOT-NAT-00014,فندق الجبل,facility_and_investment_project,probable,65.5,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00044,hotels,LY-HOT-000044,فندق الجبل,investment,LY-INV-HOT-NAT-00099,فندق الجبل,facility_and_investment_project,probable,65.5,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00045,hotels,LY-HOT-000045,فندق جوهرة صبراتة السياحي,investment,LY-INV-HOT-SAB-00002,فندق جوهرة صبراتة السياحي,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00046,hotels,LY-HOT-000046,فندق الجوهرة الزاوية,investment,LY-INV-HOT-NAT-00015,فندق الجوهرة الزاوية,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00047,hotels,LY-HOT-000048,فندق الحمام السياحي,investment,LY-INV-HOT-NAT-00017,فندق الحمام السياحي,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00048,hotels,LY-HOT-000048,فندق الحمام السياحي,investment,LY-INV-HOT-NAT-00104,فندق الحمام السياحي,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00049,hotels,LY-HOT-000049,فندق الخان الطرابلسي,investment,LY-INV-HOT-TRI-00012,فندق الخان الطرابلسي,facility_and_investment_project,probable,25.6,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00050,hotels,LY-HOT-000049,فندق الخان الطرابلسي,investment,LY-INV-HOT-TRI-00022,فندق الخان الطرابلسي,facility_and_investment_project,probable,25.6,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00051,hotels,LY-HOT-000050,فندق الخليج,investment,LY-INV-HOT-NAT-00019,فندق الخليج,facility_and_investment_project,probable,1.4,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00052,hotels,LY-HOT-000051,فندق الدبلوماسي,investment,LY-INV-HOT-TRI-00013,فندق الدبلوماسي,facility_and_investment_project,probable,13.1,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00053,hotels,LY-HOT-000052,فندق الدوحة,investment,LY-INV-HOT-NAT-00021,فندق الدوحة,facility_and_investment_project,probable,2.2,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00054,hotels,LY-HOT-000052,فندق الدوحة,investment,LY-INV-HOT-NAT-00107,فندق الدوحة,facility_and_investment_project,probable,2.2,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00055,hotels,LY-HOT-000053,فندق الديار,investment,LY-INV-HOT-NAT-00022,فندق الديار,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00056,hotels,LY-HOT-000054,فندق الرابطة,investment,LY-INV-HOT-NAT-00023,فندق الرابطة,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00057,hotels,LY-HOT-000054,فندق الرابطة,investment,LY-INV-HOT-NAT-00257,فندق الرابطة,facility_and_investment_project,probable,22.5,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00058,hotels,LY-HOT-000055,فندق الرفيع,investment,LY-INV-HOT-NAT-00024,فندق الرفيع,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00059,hotels,LY-HOT-000056,فندق الريان,investment,LY-INV-HOT-TRI-00014,فندق الريان,facility_and_investment_project,probable,9.1,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00060,hotels,LY-HOT-000056,فندق الريان,investment,LY-INV-HOT-TRI-00038,فندق الثريا,facility_and_investment_project,probable,93.5,0.9,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00061,hotels,LY-HOT-000057,فندق الزهر,investment,LY-INV-HOT-NAT-00025,فندق الزهر,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00062,hotels,LY-HOT-000057,فندق الزهر,investment,LY-INV-HOT-NAT-00109,فندق الزهر,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00063,hotels,LY-HOT-000059,فندق السرايا,investment,LY-INV-HOT-NAT-00027,فندق السرايا,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00064,hotels,LY-HOT-000059,فندق السرايا,investment,LY-INV-HOT-NAT-00111,فندق السرايا,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00065,hotels,LY-HOT-000060,فندق زوارة,investment,LY-INV-HOT-ZUW-00002,فندق زوارة,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00066,hotels,LY-HOT-000060,فندق زوارة,investment,LY-INV-HOT-ZUW-00003,فندق زوارة,facility_and_investment_project,probable,179.1,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00067,hotels,LY-HOT-000060,فندق زوارة,investment,LY-INV-HOT-ZUW-00004,فندق زوارة,facility_and_investment_project,probable,179.1,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00068,hotels,LY-HOT-000061,فندق السندباد,investment,LY-INV-HOT-TRI-00015,فندق السندباد,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00069,hotels,LY-HOT-000062,فندق الشجرة,investment,LY-INV-HOT-NAT-00031,فندق الشجرة,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00070,hotels,LY-HOT-000063,فندق الشرق,investment,LY-INV-HOT-NAT-00032,فندق الشرق,facility_and_investment_project,probable,23.8,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00071,hotels,LY-HOT-000064,فندق الشمس,investment,LY-INV-HOT-TRI-00016,فندق الشمس,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00072,hotels,LY-HOT-000065,فندق الصفوة,investment,LY-INV-HOT-NAT-00034,فندق الصفوة,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00073,hotels,LY-HOT-000066,فندق الصناعية مصراتة,investment,LY-INV-HOT-MIS-00004,فندق الصناعية مصراتة,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00074,hotels,LY-HOT-000066,فندق الصناعية مصراتة,investment,LY-INV-HOT-MIS-00006,فندق الصناعية مصراتة,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00075,hotels,LY-HOT-000067,فندق الصولجان,investment,LY-INV-HOT-TRI-00017,فندق الصولجان,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00076,hotels,LY-HOT-000068,فندق العاصمة,investment,LY-INV-HOT-TRI-00018,فندق العاصمة,facility_and_investment_project,probable,9.2,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00077,hotels,LY-HOT-000069,فندق الغدامسية,investment,LY-INV-HOT-GHA-00005,فندق الغدامسية,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00078,hotels,LY-HOT-000070,فندق القرقني,investment,LY-INV-HOT-NAT-00036,فندق القرقني,facility_and_investment_project,probable,0.1,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00079,hotels,LY-HOT-000071,فندق القوس,investment,LY-INV-HOT-NAT-00037,فندق القوس,facility_and_investment_project,probable,0.1,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00080,hotels,LY-HOT-000072,فندق الكبير,investment,LY-INV-HOT-NAT-00038,فندق الكبير,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00081,hotels,LY-HOT-000073,فندق الكرومة,investment,LY-INV-HOT-NAT-00039,فندق الكرومة,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00082,hotels,LY-HOT-000073,فندق الكرومة,investment,LY-INV-HOT-NAT-00125,فندق الكرومة,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00083,hotels,LY-HOT-000074,فندق الماسة,investment,LY-INV-HOT-NAT-00040,فندق الماسة,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00084,hotels,LY-HOT-000075,فندق المتوسط,investment,LY-INV-HOT-NAT-00041,فندق المتوسط,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00085,hotels,LY-HOT-000076,فندق المدينة,investment,LY-INV-HOT-NAT-00042,فندق المدينة,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00086,hotels,LY-HOT-000076,فندق المدينة,investment,LY-INV-HOT-NAT-00128,فندق المدينة,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00087,hotels,LY-HOT-000077,فندق المشكاة,investment,LY-INV-HOT-NAT-00044,فندق المشكاة,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00088,hotels,LY-HOT-000077,فندق المشكاة,investment,LY-INV-HOT-NAT-00133,فندق المشكاة,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00089,hotels,LY-HOT-000078,فندق المنامة,investment,LY-INV-HOT-NAT-00045,فندق المنامة,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00090,hotels,LY-HOT-000078,فندق المنامة,investment,LY-INV-HOT-NAT-00135,فندق المنار,facility_and_investment_project,probable,196.1,0.857,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00091,hotels,LY-HOT-000078,فندق المنامة,investment,LY-INV-HOT-NAT-00151,فندق اليمامة,facility_and_investment_project,probable,183.6,0.909,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00092,hotels,LY-HOT-000079,فندق النخلة,investment,LY-INV-HOT-NAT-00046,فندق النخلة,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00093,hotels,LY-HOT-000080,فندق النقازة الخمس,investment,LY-INV-HOT-KHO-00003,فندق النقازة الخمس,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00094,hotels,LY-HOT-000081,فندق النهر,investment,LY-INV-HOT-NAT-00047,فندق النهر,facility_and_investment_project,probable,7.8,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00095,hotels,LY-HOT-000082,فندق الهنشيري,investment,LY-INV-HOT-NAT-00048,فندق الهنشيري,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00096,hotels,LY-HOT-000082,فندق الهنشيري,investment,LY-INV-HOT-NAT-00143,فندق الهنشيري,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00097,hotels,LY-HOT-000083,فندق الهيشة,investment,LY-INV-HOT-NAT-00049,فندق الهيشة,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00098,hotels,LY-HOT-000083,فندق الهيشة,investment,LY-INV-HOT-NAT-00144,فندق الهيشة,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00099,hotels,LY-HOT-000084,فندق الواحات,investment,LY-INV-HOT-NAT-00050,فندق الواحات,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00100,hotels,LY-HOT-000084,فندق الواحات,investment,LY-INV-HOT-NAT-00145,فندق الواحات,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00101,hotels,LY-HOT-000085,فندق الياسمين,investment,LY-INV-HOT-NAT-00051,فندق الياسمين,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00102,hotels,LY-HOT-000085,فندق الياسمين,investment,LY-INV-HOT-NAT-00147,فندق الياسمين,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00103,hotels,LY-HOT-000086,فندق أجنحة قرطاج,investment,LY-INV-HOT-NAT-00052,فندق أجنحة قرطاج,facility_and_investment_project,probable,10.2,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00104,hotels,LY-HOT-000086,فندق أجنحة قرطاج,investment,LY-INV-HOT-NAT-00155,فندق أجنحة قرطاج,facility_and_investment_project,probable,10.2,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00105,hotels,LY-HOT-000087,فندق أفريقيا,investment,LY-INV-HOT-NAT-00053,فندق أفريقيا,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00106,hotels,LY-HOT-000088,فندق بنت السيد,investment,LY-INV-HOT-NAT-00057,فندق بنت السيد,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00107,hotels,LY-HOT-000088,فندق بنت السيد,investment,LY-INV-HOT-NAT-00169,فندق بنت السيد,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00108,hotels,LY-HOT-000089,فندق بودلغوسة,investment,LY-INV-HOT-NAT-00058,فندق بودلغوسة,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00109,hotels,LY-HOT-000089,فندق بودلغوسة,investment,LY-INV-HOT-NAT-00170,فندق بودلغوسة,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00110,hotels,LY-HOT-000090,فندق بيت الأمان,investment,LY-INV-HOT-NAT-00059,فندق بيت الأمان,facility_and_investment_project,probable,1.5,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00111,hotels,LY-HOT-000091,فندق بيت الشرق,investment,LY-INV-HOT-NAT-00060,فندق بيت الشرق,facility_and_investment_project,probable,17.5,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
REL-00112,hotels,LY-HOT-000092,فندق تابكت,investment,LY-INV-HOT-NAT-00061,فندق تابكت,facility_and_investment_project,probable,0.0,1.0,nearby,medium,retain_both_and_optionally_link,true,Relationship documentation does not imply duplicate identity.
