case_id,feature_id,layer_id,name_ar,p1_reason,current_classification,current_status,evidence_type,evidence_reference,resolution_type,fields_changed,old_values,new_values,confidence,institutional_confirmation_required,responsible_entity,publication_impact,final_review_status,notes
REV-00548,LY-INV-REV-GHA-00001,investment,Hotel bab al fatah,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00559,LY-INV-REV-NAT-00007,investment,Hotel Haroun 2,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00560,LY-INV-REV-NAT-00008,investment,زهرة الشمس,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00561,LY-INV-REV-TRI-00004,investment,الحبايب,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00562,LY-INV-REV-TRI-00005,investment,الفخامه للشقق المفروشه,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00563,LY-INV-REV-NAT-00009,investment,اوس لشقق المفروشه,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00564,LY-INV-REV-NAT-00010,investment,نزل وقاعة زهرة الخليج,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00565,LY-INV-REV-NAT-00011,investment,أبوزاهية,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00566,LY-INV-REV-NAT-00012,investment,زعفران,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00567,LY-INV-REV-NAT-00013,investment,القبيبة,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00568,LY-INV-REV-NAT-00014,investment,سلطان,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00569,LY-INV-REV-NAT-00015,investment,النقازة,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00570,LY-INV-REV-NAT-00016,investment,غنيمة,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00571,LY-INV-REV-NAT-00017,investment,فلفول,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00572,LY-INV-REV-NAT-00018,investment,فيللا سيلين,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00573,LY-INV-REV-NAT-00019,investment,قريم,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00574,LY-INV-REV-NAT-00020,investment,الطويبية,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00575,LY-INV-REV-NAT-00021,investment,هانيبال,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00576,LY-INV-REV-NAT-00022,investment,ماتشوك,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00577,LY-INV-REV-NAT-00023,investment,ملليتة-2,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00578,LY-INV-REV-NAT-00024,investment,ملليتة-1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00579,LY-INV-REV-NAT-00025,investment,تلليل-غرب,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00580,LY-INV-REV-NAT-00026,investment,تلليل-شرق,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00581,LY-INV-REV-NAT-00027,investment,الجرف,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00582,LY-INV-REV-NAT-00028,investment,صرمان,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00583,LY-INV-REV-NAT-00029,investment,المطرد,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00584,LY-INV-REV-NAT-00030,investment,السياحية,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00585,LY-INV-REV-NAT-00031,investment,أوياء,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00586,LY-INV-REV-NAT-00032,investment,جنزور-1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00587,LY-INV-REV-NAT-00033,investment,جنزور-2,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00588,LY-INV-REV-NAT-00034,investment,جنزور-3,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00589,LY-INV-REV-NAT-00035,investment,سيدي عبدالجليل-1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00590,LY-INV-REV-NAT-00036,investment,سيدي عبدالجليل-2,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00591,LY-INV-REV-NAT-00037,investment,سيدي عبدالجليل-3,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00592,LY-INV-REV-NAT-00038,investment,سيدي عبدالجليل-4,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00593,LY-INV-REV-NAT-00039,investment,سيدي عبدالجليل-5,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00594,LY-INV-REV-NAT-00040,investment,سيدي عبدالجليل-6,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00595,LY-INV-REV-TRI-00006,investment,محطة غرب طرابلس,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00596,LY-INV-REV-NAT-00041,investment,مصيف جربة,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00597,LY-INV-REV-NAT-00042,investment,مصيف جنزور-1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00598,LY-INV-REV-NAT-00043,investment,مصيف جنزور-2,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00599,LY-INV-REV-NAT-00044,investment,الغيران,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00600,LY-INV-REV-NAT-00045,investment,حي الأندلس-2,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00601,LY-INV-REV-NAT-00046,investment,حي الأندلس-1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00602,LY-INV-REV-NAT-00047,investment,الدلفين,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00603,LY-INV-REV-NAT-00048,investment,النادي البحري,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00604,LY-INV-REV-NAT-00049,investment,شاطيء النخيل,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00605,LY-INV-REV-NAT-00050,investment,الدخلة الشمالية,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00606,LY-INV-REV-NAT-00051,investment,الدخلة الجنوبية,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00607,LY-INV-REV-NAT-00052,investment,الفوار,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00608,LY-INV-REV-NAT-00053,investment,الجولف,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
REV-00609,LY-INV-REV-NAT-00054,investment,الحرية,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,review_required,unknown,institutional_confirmation_required,data/incoming/tourism-investment-projects.kml,converted_to_institutional_action,publication_status|review_status,internal_only,internal_only,high,true,وزارة السياحة أو البلدية أو الجهة المالكة حسب الاختصاص,withheld_or_internal_only,institutional_action_open,Core P1 issue remains; not marked resolved.
