image_id,source_relative_path,rights_status_before,rights_status_after,rights_holder,license_type,publication_permission,attribution_required,source_credit,evidence_type,evidence_relative_path,evidence_description,evidence_confidence,institutional_confirmation_required,review_status,notes
IMG-868B54C6ED9FA176,assets/images/akakus/akakus-LY-AKAKUS-00008-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-26E6D2213C310A4B,assets/images/akakus/akakus-LY-AKAKUS-00008-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-91DC81ED4F81115E,assets/images/akakus/akakus-LY-AKAKUS-00009-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-4CF039CFE632E1AE,assets/images/akakus/akakus-LY-AKAKUS-00009-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-E99EF535E084184C,assets/images/akakus/akakus-LY-AKAKUS-00010-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-BB80552A00B503C7,assets/images/akakus/akakus-LY-AKAKUS-00010-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-EA21F41CC2974D82,assets/images/akakus/akakus-LY-AKAKUS-00011-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-88FFA70148510022,assets/images/akakus/akakus-LY-AKAKUS-00011-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-BE0CB3D8E6BD1A40,assets/images/akakus/akakus-LY-AKAKUS-00012-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-E2AFBD92CE0D195F,assets/images/akakus/akakus-LY-AKAKUS-00012-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-CCB20E326BA10BCC,assets/images/akakus/akakus-LY-AKAKUS-00013-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-D7304010670B6676,assets/images/akakus/akakus-LY-AKAKUS-00013-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-FE005B51516F9E12,assets/images/akakus/akakus-LY-AKAKUS-00014-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-006344B4761C5D72,assets/images/akakus/akakus-LY-AKAKUS-00014-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-DA62F0242AEA478C,assets/images/akakus/akakus-LY-AKAKUS-00016-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-6CD0CFD90939A291,assets/images/akakus/akakus-LY-AKAKUS-00016-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-42477E3B530F1B24,assets/images/akakus/akakus-LY-AKAKUS-00017-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-98895A5245017107,assets/images/akakus/akakus-LY-AKAKUS-00017-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-C6FF601D9462EF6A,assets/images/akakus/akakus-LY-AKAKUS-00018-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-A28418CF13F02997,assets/images/akakus/akakus-LY-AKAKUS-00018-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-7308AB91EC5133CA,assets/images/akakus/akakus-LY-AKAKUS-00019-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-E68C5524026BFC18,assets/images/akakus/akakus-LY-AKAKUS-00019-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-83D131761F7EA25D,assets/images/akakus/akakus-LY-AKAKUS-00020-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-3BFE174325C444CE,assets/images/akakus/akakus-LY-AKAKUS-00020-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-B45F567D113D9D86,assets/images/akakus/akakus-LY-AKAKUS-00021-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-C8132570EE97B6C9,assets/images/akakus/akakus-LY-AKAKUS-00021-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-AC0D675910C9E48B,assets/images/akakus/akakus-LY-AKAKUS-00022-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-72DEF054B277BD9C,assets/images/akakus/akakus-LY-AKAKUS-00022-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-E18F2DAE0868EC75,assets/images/akakus/akakus-LY-AKAKUS-00023-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-B7DBCB02F2C1F899,assets/images/akakus/akakus-LY-AKAKUS-00023-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-7B82F05348DEFDD5,assets/images/akakus/akakus-LY-AKAKUS-00028-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-A804CB0C1113807F,assets/images/akakus/akakus-LY-AKAKUS-00028-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-5FDD5A2FFBF59DBF,assets/images/akakus/akakus-LY-AKAKUS-00028-02.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-43E5D7C28F80D864,assets/images/akakus/akakus-LY-AKAKUS-00028-02.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-AC89DDC21CE84AE0,assets/images/akakus/akakus-LY-AKAKUS-00029-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-D52E10EE98F1156C,assets/images/akakus/akakus-LY-AKAKUS-00029-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-3A5DE817DBAE2AD4,assets/images/akakus/akakus-LY-AKAKUS-00030-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-535DA87DC202F119,assets/images/akakus/akakus-LY-AKAKUS-00030-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-B7FA7495843EC68C,assets/images/akakus/akakus-LY-AKAKUS-00031-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-5EA11A80C94E682F,assets/images/akakus/akakus-LY-AKAKUS-00031-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-1B31D51FCAA1AFD4,assets/images/akakus/akakus-LY-AKAKUS-00032-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-828F955698E0AF41,assets/images/akakus/akakus-LY-AKAKUS-00032-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-AD1BBA82C39EE092,assets/images/akakus/akakus-LY-AKAKUS-00035-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-735BFF9D2EF1E739,assets/images/akakus/akakus-LY-AKAKUS-00035-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-AF6A7473582953C1,assets/images/akakus/akakus-LY-AKAKUS-00035-02.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-794F968B8A93D36D,assets/images/akakus/akakus-LY-AKAKUS-00035-02.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-59BD0D3A8231D05C,assets/images/akakus/akakus-LY-AKAKUS-00037-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-38E67ACEE9E21ECC,assets/images/akakus/akakus-LY-AKAKUS-00037-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-C7416BED2AF2267C,assets/images/akakus/akakus-LY-AKAKUS-00037-02.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-02A79C9AE3EE7189,assets/images/akakus/akakus-LY-AKAKUS-00037-02.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-26ADEB0254C1DEB2,assets/images/akakus/akakus-LY-AKAKUS-00039-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-3B00131BE0EA1D4F,assets/images/akakus/akakus-LY-AKAKUS-00039-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-7FFC0456721AEB45,assets/images/akakus/akakus-LY-AKAKUS-00040-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-84CCF451CA28025F,assets/images/akakus/akakus-LY-AKAKUS-00040-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-10EFC2ADB35883A3,assets/images/akakus/akakus-LY-AKAKUS-00041-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-B2789EEAC82A75EB,assets/images/akakus/akakus-LY-AKAKUS-00041-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-7D169C39C268165D,assets/images/akakus/akakus-LY-AKAKUS-00043-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-774DCB5D58949930,assets/images/akakus/akakus-LY-AKAKUS-00043-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-7081075BA4E2C8AE,assets/images/akakus/akakus-LY-AKAKUS-00043-02.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-2AC82828FB2D9897,assets/images/akakus/akakus-LY-AKAKUS-00043-02.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-4CE555A680866449,assets/images/akakus/akakus-LY-AKAKUS-00049-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-B25B3B99D10A18CF,assets/images/akakus/akakus-LY-AKAKUS-00049-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-EE7F408CE9AABF02,assets/images/akakus/akakus-LY-AKAKUS-00106-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-5B72C92E56F99A85,assets/images/akakus/akakus-LY-AKAKUS-00106-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-A72875D7BA428936,assets/images/akakus/akakus-LY-AKAKUS-00148-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-D92A2660BAB035A9,assets/images/akakus/akakus-LY-AKAKUS-00148-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-E9D68E93DA77F5A1,assets/images/akakus/akakus-LY-AKAKUS-00155-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-CB5999B485A45C9A,assets/images/akakus/akakus-LY-AKAKUS-00155-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-3795EF0B47BCE1DA,assets/images/akakus/akakus-LY-AKAKUS-00156-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-F198FCB7F6604A43,assets/images/akakus/akakus-LY-AKAKUS-00156-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-83CBDF41FD9FE301,assets/images/akakus/akakus-LY-AKAKUS-00160-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-3C4745D64C3979D6,assets/images/akakus/akakus-LY-AKAKUS-00160-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-780745C91D8C7059,assets/images/akakus/akakus-LY-AKAKUS-00191-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-19ED505A8B9BD0D4,assets/images/akakus/akakus-LY-AKAKUS-00191-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-C743A18B7F69C496,assets/images/akakus/akakus-LY-AKAKUS-00192-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-0A7422737A37F32A,assets/images/akakus/akakus-LY-AKAKUS-00192-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-29052066CBAB58BD,assets/images/akakus/akakus-LY-AKAKUS-00193-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-A31A21332E3D570D,assets/images/akakus/akakus-LY-AKAKUS-00193-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-69F35D48D1B7CCC0,assets/images/akakus/akakus-LY-AKAKUS-00196-01.png,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-166273FEAF9EBFED,assets/images/akakus/akakus-LY-AKAKUS-00196-01.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-46F49E7C221A033F,assets/images/hotels/hotels-015-mymaps-feb2b5fdcf1a.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-02BE325FA2853805,assets/images/hotels/hotels-019-mymaps-6c403eb23eb8.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-40B37878823F011F,assets/images/hotels/hotels-020-mymaps-5887846e5ae8.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-230B3A6E36310AD5,assets/images/hotels/hotels-021-mymaps-ea6295b5b814.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-C1C05F1A9D79A78A,assets/images/hotels/hotels-025-mymaps-86063191c6a3.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-689BA7BAF801552C,assets/images/hotels/hotels-026-mymaps-0244437a5e0d.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-11FA0A8CD5EB2920,assets/images/hotels/hotels-027-mymaps-f16aef73979e.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-65AB52B2F6CC48F7,assets/images/hotels/hotels-050-mymaps-cff0be4bedad.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-DF81B5FBDADD0871,assets/images/hotels/hotels-051-mymaps-c7ca55c7f342.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-FD2787C91485695B,assets/images/hotels/hotels-085-mymaps-19a69f5cedd0.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-F51E7FC26DAC2D45,assets/images/hotels/hotels-086-mymaps-09a26289e6b2.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-E1B016E4293C4E28,assets/images/hotels/hotels-087-mymaps-bfc89ce1f2bd.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-BB269B254C48DEA9,assets/images/hotels/hotels-099-mymaps-db4cdf418d62.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-5ED99B628601EBD3,assets/images/hotels/hotels-125-mymaps-aaa1da1d425a.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-CE769FD5F6AAABCE,assets/images/hotels/hotels-127-mymaps-bf084662bbc9.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
IMG-69AD6A21A3E984EB,assets/images/hotels/hotels-128-mymaps-548662bf3610.webp,unknown,unknown,,,requires_review,unknown,,insufficient_local_evidence,,"Repository presence, folder names, and GeoJSON labels do not prove publication permission.",high,true,open,Not approved for public publication.
