feature_id,layer_id,name_ar,publication_status,current_local_image_count,current_primary_image,verified_images,public_rights_images,internal_only_images,high_quality_candidates,review_candidates,coverage_priority,recommended_action,notes
LY-HOT-000026,hotels,منتجع وموتيل الأمان,public_ready,4,,0,0,0,0,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000027,hotels,بيوت شباب غدامس,internal_only,1,,0,0,0,0,2,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000028,hotels,نالوت غدامس فندق باب العز,public_ready,3,,0,0,0,0,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000029,hotels,فندق أبراج الوسطى,public_ready,2,,0,0,0,0,3,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000030,hotels,فندق طيبة,public_ready,0,,0,0,0,0,1,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000031,hotels,فندق قصر الفيروز,public_ready,6,,0,0,0,0,7,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000032,hotels,Royal Gardens Hotels,public_ready,3,,0,0,0,0,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000033,hotels,فندق ابونواس,public_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000034,hotels,فندق احواص,public_ready,1,,0,0,0,0,2,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000035,hotels,فندق الانوار,public_ready,4,,0,0,0,1,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000036,hotels,فندق الأخوة,public_ready,4,,0,0,0,0,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000037,hotels,فندق الأصالة,public_ready,3,,0,0,0,0,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000038,hotels,فندق الأصيل,public_ready,5,,0,0,0,0,6,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000039,hotels,فندق الأندلس,public_ready,3,,0,0,0,0,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000040,hotels,فندق البركة,public_ready,4,,0,0,0,0,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000041,hotels,فندق البستان,public_ready,5,,0,0,0,0,6,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000042,hotels,التاج للشقق الفندقية,public_ready,2,,0,0,0,0,3,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000043,hotels,(فندق الطُبجية )فندق التاجوري,public_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000044,hotels,فندق الجبل,public_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000045,hotels,فندق جوهرة صبراتة السياحي,public_ready,2,,0,0,0,0,3,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000046,hotels,فندق الجوهرة الزاوية,public_ready,1,,0,0,0,0,2,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000047,hotels,يعرف باسم (فندق الوادي ) فندق الحديقة,public_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000048,hotels,فندق الحمام السياحي,public_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000049,hotels,فندق الخان الطرابلسي,public_ready,5,,0,0,0,0,6,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000050,hotels,فندق الخليج,public_ready,3,,0,0,0,0,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000051,hotels,فندق الدبلوماسي,public_ready,2,,0,0,0,0,3,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000052,hotels,فندق الدوحة,public_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000053,hotels,فندق الديار,public_ready,3,,0,0,0,0,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000054,hotels,فندق الرابطة,public_ready,4,,0,0,0,0,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000055,hotels,فندق الرفيع,public_ready,1,,0,0,0,0,2,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000056,hotels,فندق الريان,public_ready,6,,0,0,0,0,7,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000057,hotels,فندق الزهر,public_ready,5,,0,0,0,0,6,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000058,hotels,فندق الزيتونة,public_ready,4,,0,0,0,3,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000059,hotels,فندق السرايا,public_ready,4,,0,0,0,0,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000060,hotels,فندق زوارة,public_ready,3,,0,0,0,0,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000061,hotels,فندق السندباد,public_ready,1,,0,0,0,0,2,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000062,hotels,فندق الشجرة,public_ready,2,,0,0,0,0,3,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000063,hotels,فندق الشرق,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000064,hotels,فندق الشمس,public_ready,4,,0,0,0,0,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000065,hotels,فندق الصفوة,public_ready,4,,0,0,0,0,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000066,hotels,فندق الصناعية مصراتة,internal_ready,5,,0,0,0,0,6,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000067,hotels,فندق الصولجان,public_ready,2,,0,0,0,0,3,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000068,hotels,فندق العاصمة,public_ready,3,,0,0,0,0,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000069,hotels,فندق الغدامسية,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000070,hotels,فندق القرقني,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000071,hotels,فندق القوس,internal_ready,5,,0,0,0,0,6,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000072,hotels,فندق الكبير,internal_ready,5,,0,0,0,0,6,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000073,hotels,فندق الكرومة,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000074,hotels,فندق الماسة,internal_ready,5,,0,0,0,0,6,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000075,hotels,فندق المتوسط,public_ready,5,,0,0,0,0,6,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000076,hotels,فندق المدينة,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000077,hotels,فندق المشكاة,internal_ready,3,,0,0,0,0,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000078,hotels,فندق المنامة,public_ready,3,,0,0,0,0,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000079,hotels,فندق النخلة,internal_ready,5,,0,0,0,0,6,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000080,hotels,فندق النقازة الخمس,public_ready,5,,0,0,0,0,6,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000081,hotels,فندق النهر,public_ready,3,,0,0,0,0,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000082,hotels,فندق الهنشيري,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000083,hotels,فندق الهيشة,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000084,hotels,فندق الواحات,internal_ready,1,,0,0,0,0,2,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000085,hotels,فندق الياسمين,internal_ready,3,,0,0,0,0,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000086,hotels,فندق أجنحة قرطاج,internal_ready,5,,0,0,0,0,6,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000087,hotels,فندق أفريقيا,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000088,hotels,فندق بنت السيد,public_ready,1,,0,0,0,0,2,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000089,hotels,فندق بودلغوسة,public_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000090,hotels,فندق بيت الأمان,public_ready,4,,0,0,0,0,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000091,hotels,فندق بيت الشرق,public_ready,3,,0,0,0,2,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000092,hotels,فندق تابكت,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000093,hotels,لانكاستر برج الحياة ( ماريوت سابقا),public_ready,5,,0,0,0,0,6,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000094,hotels,فندق دار غدامس,public_ready,5,,0,0,0,0,6,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000095,hotels,فندق ديار الهناء,internal_ready,4,,0,0,0,0,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000096,hotels,فندق ليبوس,internal_ready,3,,0,0,0,0,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000097,hotels,فندق ريكسوس,internal_ready,5,,0,0,0,0,6,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000098,hotels,فندق زليتن,internal_ready,3,,0,0,0,0,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000099,hotels,فندق زميت,internal_ready,10,,0,0,0,0,11,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000100,hotels,فندق زوارة,internal_ready,4,,0,0,0,0,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000101,hotels,فندق سرايا الليبو,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000102,hotels,فندق سفاري,internal_ready,5,,0,0,0,0,6,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000103,hotels,فندق سفاري 2,internal_ready,3,,0,0,0,0,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000104,hotels,فندق شروق افريقيا,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000105,hotels,فندق ضيافة ونيس,internal_ready,6,,0,0,0,0,7,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000106,hotels,فندق طرابلس الدولي,internal_ready,6,,0,0,0,0,7,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000107,hotels,فندق طليطلة,internal_ready,4,,0,0,0,0,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000108,hotels,فندق طيبة,public_ready,3,,0,0,0,0,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000109,hotels,فندق عمير,public_ready,3,,0,0,0,0,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000110,hotels,فندق عين الفرس,internal_ready,2,,0,0,0,0,3,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000111,hotels,فندق غابة الكشافة,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000112,hotels,فندق غريان السياحي,internal_ready,5,,0,0,0,0,6,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000113,hotels,فندق قرطاج,internal_ready,5,,0,0,0,0,6,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000114,hotels,فندق قصر الظهرة,internal_ready,6,,0,0,0,0,7,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000115,hotels,فندق قصر الفيروز,internal_ready,5,,0,0,0,0,6,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000116,hotels,فندق قمر صبراتة,internal_ready,1,,0,0,0,0,2,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000117,hotels,فندق كونتنتال,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000118,hotels,فندق لبدة السياحي الخمس,public_ready,9,,0,0,0,0,10,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000119,hotels,فندق ليالي قرطاج,internal_ready,3,,0,0,0,0,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000120,hotels,فندق ليبيا,public_ready,6,,0,0,0,0,7,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000121,hotels,فندق مادي الحسان,internal_ready,4,,0,0,0,0,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000122,hotels,فندق واستراحة جادو,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000123,hotels,فندق ومطعم الامتياز,internal_ready,6,,0,0,0,0,7,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000124,hotels,فندق ومطعم النزهة,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000125,hotels,فندق يفرن,internal_ready,1,,0,0,0,0,2,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000126,hotels,طرابلس للشقق الفندقية,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000127,hotels,نزل طرابلس الحديث,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000128,hotels,فندق الثريا السياحي,internal_ready,5,,0,0,0,0,6,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000129,hotels,فندق الأنيس,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000130,hotels,فندق البتراء,internal_ready,5,,0,0,0,0,6,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000131,hotels,فندق البردي,internal_ready,4,,0,0,0,0,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000132,hotels,فندق التلال,internal_ready,5,,0,0,0,0,6,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000133,hotels,فندق الجبل الأخضر,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000134,hotels,فندق الجغبوب,internal_ready,2,,0,0,0,0,3,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000135,hotels,فندق الجلاء,internal_ready,3,,0,0,0,0,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000137,hotels,فندق الخان الطرابلسي,public_ready,9,,0,0,0,0,10,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000138,hotels,فندق الرحاب,public_ready,2,,0,0,0,0,3,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000140,hotels,فندق الزيتونة,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000142,hotels,فندق السلام,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000143,hotels,فندق ابن الرومي,public_ready,1,,0,0,0,0,2,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000144,hotels,فندق اجدابيا,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000145,hotels,فندق الحياة,public_ready,5,,0,0,0,0,6,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000146,hotels,فندق الصحراوي,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000148,hotels,فندق العوينات,internal_ready,1,,0,0,0,0,2,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000149,hotels,فندق الفردوس,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000150,hotels,فندق الفضيل,internal_ready,5,,0,0,0,0,6,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000151,hotels,فندق الفضيل رأس لانوف,internal_ready,2,,0,0,0,0,3,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000152,hotels,فندق الفلك,internal_ready,3,,0,0,0,0,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000153,hotels,فندق القرضابية,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000154,hotels,فندق القلعة,internal_ready,1,,0,0,0,0,2,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000155,hotels,فندق الكاظم,internal_ready,1,,0,0,0,0,2,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000157,hotels,فندق المبروك,public_ready,3,,0,0,0,0,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000158,hotels,فندق المتوسط الخمس,public_ready,3,,0,0,0,0,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000159,hotels,فندق المدينة,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000160,hotels,فندق المدينة,internal_ready,4,,0,0,0,0,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000162,hotels,فندق المدينة,public_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000163,hotels,فندق المرج السياحي,internal_ready,4,,0,0,0,0,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000164,hotels,فندق المسيرة,internal_ready,5,,0,0,0,0,6,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000166,hotels,فندق المغرب العربي,public_ready,4,,0,0,0,0,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000167,hotels,فندق المنار,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000168,hotels,فندق النادي الليبي,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000169,hotels,فندق النخلة السياحي,public_ready,5,,0,0,0,0,6,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000170,hotels,فندق النخيل - مغلق,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000171,hotels,فندق النوران,public_ready,5,,0,0,0,0,6,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000172,hotels,فندق الهاروج,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000176,hotels,فندق الوادي,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000178,hotels,فندق الياقوتة,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000179,hotels,فندق الياقوتة,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000180,hotels,فندق اليقين,public_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000181,hotels,فندق اليمامة,public_ready,2,,0,0,0,0,3,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000182,hotels,فندق اوزو,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000183,hotels,فندق ايلاف,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000184,hotels,فندق أبراج المدينة,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000185,hotels,فندق أجنحة قرطاج,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000186,hotels,فندق أفريقيا,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000187,hotels,فندق أفريقيا,public_ready,3,,0,0,0,0,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000188,hotels,فندق أكاكوس,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000189,hotels,فندق أكاكوس,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000190,hotels,فندق أمال ليبيا,public_ready,3,,0,0,0,0,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000191,hotels,فندق أوجلة السياحي,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000192,hotels,فندق أويا,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000193,hotels,فندق باب البحر,public_ready,4,,0,0,0,3,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000194,hotels,فندق براك,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000195,hotels,فندق برينيتشي,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000196,hotels,فندق بلازما,public_ready,5,,0,0,0,3,6,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000198,hotels,فندق بنغازي,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000201,hotels,فندق توباكتس,public_ready,4,,0,0,0,3,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000202,hotels,فندق تيبستي,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000203,hotels,فندق جاكرتا,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000204,hotels,فندق جالو السياحي,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000205,hotels,فندق جرمة السياحي,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000206,hotels,فندق جليانة,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000207,hotels,فندق دار جرمة,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000208,hotels,فندق دوجال السياحي,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000209,hotels,فندق ديار الهناء,internal_ready,1,,0,0,0,0,2,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000210,hotels,فندق رواسي,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000211,hotels,فندق رويال,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000212,hotels,فندق ريباس,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000216,hotels,فندق زهرة البطنان,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000218,hotels,فندق زين,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000221,hotels,فندق سفيروس الخمس,public_ready,4,,0,0,0,0,5,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000223,hotels,فندق صحارى ليبيا,public_ready,3,,0,0,0,2,4,P3,human_visual_and_rights_review,No public approval inferred.
LY-HOT-000226,hotels,فندق عمر الخيام,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000229,hotels,فندق فيلا النوران,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000230,hotels,فندق قاطش,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000232,hotels,فندق قصر البيضاء,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000234,hotels,فندق قصر الفضيل,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000236,hotels,فندق قصر النيل,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
LY-HOT-000237,hotels,فندق قصر الواحة,internal_ready,0,,0,0,0,0,0,P2,seek_documented_local_image,No public approval inferred.
