original_filename,source_folder,relative_source_path,sha256,file_size,width,height,format,duplicate_group,visual_category,proposed_feature_id,proposed_feature_name_ar,proposed_feature_name_en,confidence,publication_status,rights_owner,rights_status,published_relative_path,review_notes
WhatsApp Image 2026-08-05 at 21.59.09 (16).jpeg,official_center,صبراتة/WhatsApp Image 2026-08-05 at 21.59.09 (16).jpeg,18bdc7bd5a1a9c8097fbde2a5487633866702a3df92e7c271bbfb26851054864,167644,1080,810,JPEG,dup-18bdc7bd5a1a,review-required,,,,low,review-required,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
WhatsApp Image 2026-08-05 at 21.59.09 (17).jpeg,official_center,صبراتة/WhatsApp Image 2026-08-05 at 21.59.09 (17).jpeg,7fe74187db4bec69faedef65d7420a80c765b86a671d7ccf465e399df6e7c7ce,138831,1080,810,JPEG,dup-7fe74187db4b,review-required,,,,low,review-required,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
WhatsApp Image 2026-08-05 at 21.59.09 (18).jpeg,official_center,صبراتة/WhatsApp Image 2026-08-05 at 21.59.09 (18).jpeg,9716ec8858b9c46b7ee7f7b8f46d974ab6d401aca3549394a94b59257bd46e80,106699,1080,810,JPEG,dup-9716ec8858b9,review-required,,,,low,review-required,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
WhatsApp Image 2026-08-05 at 21.59.09 (19).jpeg,official_center,صبراتة/WhatsApp Image 2026-08-05 at 21.59.09 (19).jpeg,be5c5985d7584035044c9db388bfef786e18c598e7ac6f627a2842ed86700099,108988,1080,810,JPEG,dup-be5c5985d758,review-required,,,,low,review-required,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
WhatsApp Image 2026-08-05 at 21.59.09 (2).jpeg,official_center,صبراتة/WhatsApp Image 2026-08-05 at 21.59.09 (2).jpeg,9f7b43ac2c740661dae8e7e57505c9168b6b3e07bd810de3c0cf7c7c24feac5b,107496,719,1080,JPEG,dup-9f7b43ac2c74,review-required,,,,low,review-required,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
WhatsApp Image 2026-08-05 at 21.59.09 (3).jpeg,official_center,صبراتة/WhatsApp Image 2026-08-05 at 21.59.09 (3).jpeg,7a2f06d9772faf06005d514b7d2d2e53430712b09e53b20c9c1646d9b59d0155,110363,810,1080,JPEG,dup-7a2f06d9772f,review-required,,,,low,review-required,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
WhatsApp Image 2026-08-05 at 21.59.09 (4).jpeg,official_center,صبراتة/WhatsApp Image 2026-08-05 at 21.59.09 (4).jpeg,c66222d8162179ac4c65cea6b0222b2be79039a0dee5f189dd0a5f282733a7fd,146710,1080,810,JPEG,dup-c66222d81621,review-required,,,,low,review-required,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
WhatsApp Image 2026-08-05 at 21.59.09 (5).jpeg,official_center,صبراتة/WhatsApp Image 2026-08-05 at 21.59.09 (5).jpeg,885ddc4369381c6c08e55c6d91d48e1d6ad625b82b55e753bb645b5d4b78484e,80177,1080,810,JPEG,dup-885ddc436938,review-required,,,,low,review-required,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
WhatsApp Image 2026-08-05 at 21.59.09 (6).jpeg,official_center,صبراتة/WhatsApp Image 2026-08-05 at 21.59.09 (6).jpeg,33e19243eabb3dee729072e3b12870aeace549fc8394085d929a115ab8fb8e81,117111,1080,810,JPEG,dup-33e19243eabb,review-required,,,,low,review-required,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
WhatsApp Image 2026-08-05 at 21.59.09 (7).jpeg,official_center,صبراتة/WhatsApp Image 2026-08-05 at 21.59.09 (7).jpeg,8d31133359bc0d2d9332e86089f8e7c21954851157fff9a09f868acc36bf8fe8,103605,1080,810,JPEG,dup-8d31133359bc,review-required,,,,low,review-required,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
WhatsApp Image 2026-08-05 at 21.59.09 (8).jpeg,official_center,صبراتة/WhatsApp Image 2026-08-05 at 21.59.09 (8).jpeg,35f36ef495f1489701843e7cf793eb0d9ae2edf524d7bf0db2837d2c729749e2,82034,1080,607,JPEG,dup-35f36ef495f1,review-required,,,,low,review-required,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
WhatsApp Image 2026-08-05 at 21.59.09 (9).jpeg,official_center,صبراتة/WhatsApp Image 2026-08-05 at 21.59.09 (9).jpeg,63d90877d817c844550d8bd658b831902afa3b5f46856af023de5593b3381164,110208,1080,810,JPEG,dup-63d90877d817,review-required,,,,low,review-required,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
WhatsApp Image 2026-08-05 at 21.59.09.jpeg,official_center,صبراتة/WhatsApp Image 2026-08-05 at 21.59.09.jpeg,45d3d3d92abb853bd0bfa803f628570541f6ff3139a4e68dd3cc7b0cde9c03aa,87999,1080,719,JPEG,dup-45d3d3d92abb,review-required,,,,low,review-required,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
الحمامات.jpg,official_center,صبراتة/الحمامات.jpg,3ee7ec18fd8960e32a1c1ae918e6ba5d1c9a7a5b2f775e7178b92ffb5804a373,1055459,3215,1805,JPEG,dup-3ee7ec18fd89,review-required,,,,low,review-required,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
الضريح البونيقي.jpg,official_center,صبراتة/الضريح البونيقي.jpg,b0b40b0dbe78ea04c12e638d9029e382538afd05490693c8c6b5ae489b03daf3,1007536,3192,1815,JPEG,dup-b0b40b0dbe78,punic-mausoleum,WH-LY-002-C0043,الضريح البونيقي,,high,published,مركز المعلومات والتوثيق السياحي,institutional_ownership,assets/media/LIBYA/Sabratha/published/punic-mausoleum/sabratha-punic-mausoleum-001.jpg,مطابقة مؤكدة بالاسم والسياق
الضريح البونيقي1.jpg,official_center,صبراتة/الضريح البونيقي1.jpg,9b22295c56974ef94e23e614f2eb8a5aa3ccc9f7ae5dca25d873f3858133e33f,2388550,1454,2195,JPEG,dup-9b22295c5697,punic-mausoleum,WH-LY-002-C0043,الضريح البونيقي,,high,published,مركز المعلومات والتوثيق السياحي,institutional_ownership,assets/media/LIBYA/Sabratha/published/punic-mausoleum/sabratha-punic-mausoleum-001.jpg,مطابقة مؤكدة بالاسم والسياق
المتحف.JPG,official_center,صبراتة/المتحف.JPG,dd67f5ff23017e2975795ef9a8437d1485202c0be67498250178f9b10527b334,12013568,5280,3956,MPO,dup-dd67f5ff2301,roman-museum,WH-LY-002-C0019,متحف روماني,,medium,published,مركز المعلومات والتوثيق السياحي,institutional_ownership,assets/media/LIBYA/Sabratha/published/roman-museum/sabratha-roman-museum-001.jpg,غير مؤكدة؛ محفوظة للمراجعة
المسرح صبراتة 3.jpg,official_center,صبراتة/المسرح صبراتة 3.jpg,9d9393fc6999022a72361365fc1eab26eca02a8cdf8af0e481d4cd0ab4dbd617,188686,1024,677,JPEG,dup-9d9393fc6999,theatre,WH-LY-002-C0042,مسرح صبراته الأثري,,high,published,مركز المعلومات والتوثيق السياحي,institutional_ownership,assets/media/LIBYA/Sabratha/published/theatre/sabratha-theatre-001.jpg,مطابقة مؤكدة بالاسم والسياق
المسرح صبراتة 4.jpeg,official_center,صبراتة/المسرح صبراتة 4.jpeg,5a9437742408113759cf95e84a702fdcb10f9450ce8d156c089f3ca3e8257f7a,166535,1280,878,JPEG,dup-5a9437742408,theatre,WH-LY-002-C0042,مسرح صبراته الأثري,,high,published,مركز المعلومات والتوثيق السياحي,institutional_ownership,assets/media/LIBYA/Sabratha/published/theatre/sabratha-theatre-002.jpeg,مطابقة مؤكدة بالاسم والسياق
المسرح صبراتة1.jpg,official_center,صبراتة/المسرح صبراتة1.jpg,81e07c53392cb3a9f338a46b11f08c4e9c13c7b247291b67e0cac961a9a95b50,3955948,3840,2160,JPEG,dup-81e07c53392c,theatre,WH-LY-002-C0042,مسرح صبراته الأثري,,high,published,مركز المعلومات والتوثيق السياحي,institutional_ownership,assets/media/LIBYA/Sabratha/published/theatre/sabratha-theatre-001.jpg,مطابقة مؤكدة بالاسم والسياق
المسرح صبراتة2.jpg,official_center,صبراتة/المسرح صبراتة2.jpg,beed310631126a0e860260c4eea278401b097a6e34c0088b08e0be5ef7e36849,150951,800,600,JPEG,dup-beed31063112,theatre,WH-LY-002-C0042,مسرح صبراته الأثري,,high,published,مركز المعلومات والتوثيق السياحي,institutional_ownership,assets/media/LIBYA/Sabratha/published/theatre/sabratha-theatre-001.jpg,مطابقة مؤكدة بالاسم والسياق
المسرح صبراتة4.jpg,official_center,صبراتة/المسرح صبراتة4.jpg,52b65502e4686a4e446266e0065fff9e2a6215d4272e1d1da0f3a971e262429b,201554,1024,677,JPEG,dup-52b65502e468,theatre,WH-LY-002-C0042,مسرح صبراته الأثري,,high,published,مركز المعلومات والتوثيق السياحي,institutional_ownership,assets/media/LIBYA/Sabratha/published/theatre/sabratha-theatre-001.jpg,مطابقة مؤكدة بالاسم والسياق
المسرح صبراتة5.jpg,official_center,صبراتة/المسرح صبراتة5.jpg,204859f82d17e1b02cb8040d7992c3b1f7202ca0c541e53df66189ab9625eeba,149422,400,300,JPEG,dup-204859f82d17,theatre,WH-LY-002-C0042,مسرح صبراته الأثري,,high,published,مركز المعلومات والتوثيق السياحي,institutional_ownership,assets/media/LIBYA/Sabratha/published/theatre/sabratha-theatre-001.jpg,مطابقة مؤكدة بالاسم والسياق
المسرح صبراتة6.JPG,official_center,صبراتة/المسرح صبراتة6.JPG,704bad17eb02a3e0b40398d8aa335fa394830f6b81e4ed013af3fdb2c440a566,10928128,5280,3956,MPO,dup-704bad17eb02,theatre,WH-LY-002-C0042,مسرح صبراته الأثري,,high,published,مركز المعلومات والتوثيق السياحي,institutional_ownership,assets/media/LIBYA/Sabratha/published/theatre/sabratha-theatre-001.jpg,مطابقة مؤكدة بالاسم والسياق
المسرح صبراتة8.JPG,official_center,صبراتة/المسرح صبراتة8.JPG,467640aa178dd4897a0ad8d1ea3a1eec06d5f6d8117e6f635bfdc9f5ad094cd1,12038144,5280,3956,MPO,dup-467640aa178d,theatre,WH-LY-002-C0042,مسرح صبراته الأثري,,high,published,مركز المعلومات والتوثيق السياحي,institutional_ownership,assets/media/LIBYA/Sabratha/published/theatre/sabratha-theatre-001.jpg,مطابقة مؤكدة بالاسم والسياق
صبراتة  5.jpg,official_center,صبراتة/صبراتة  5.jpg,e40fc1fcce86b63f8d1455ce4724a24d3436db4d6086790c06b215ecaed6448f,104934,800,600,JPEG,dup-e40fc1fcce86,main-site,WH-WORLD-C0001,موقع صبراتة الأثري,,high,published,مركز المعلومات والتوثيق السياحي,institutional_ownership,assets/media/LIBYA/Sabratha/published/main-site/sabratha-main-aerial-001.JPG,مطابقة مؤكدة بالاسم والسياق
صبراتة 6.jpg,official_center,صبراتة/صبراتة 6.jpg,9b279cab28e912618c82235b3823b21ebc3473fcfa4c607adbd0b2e8e08335f4,60018,640,411,JPEG,dup-9b279cab28e9,main-site,WH-WORLD-C0001,موقع صبراتة الأثري,,high,published,مركز المعلومات والتوثيق السياحي,institutional_ownership,assets/media/LIBYA/Sabratha/published/main-site/sabratha-main-aerial-001.JPG,مطابقة مؤكدة بالاسم والسياق
فسيفساء صبراتة.jpg,official_center,صبراتة/فسيفساء صبراتة.jpg,0ff696c7237f3719e11a7597c938755468286b6e6cf0d95412c4c5e8e28a5bb6,1110852,1412,945,JPEG,dup-0ff696c7237f,review-required,,,,low,review-required,مركز المعلومات والتوثيق السياحي,institutional_ownership,,غير مؤكدة؛ محفوظة للمراجعة
ميدان المصارعة.JPG,official_center,صبراتة/ميدان المصارعة.JPG,a37938d4b1cfe62204533b988828e96d018125c71a97e841dc217d0acf346eaa,13713408,5280,3956,MPO,dup-a37938d4b1cf,amphitheatre,WH-LY-002-C0045,الامفيثياتر,,high,published,مركز المعلومات والتوثيق السياحي,institutional_ownership,assets/media/LIBYA/Sabratha/published/amphitheatre/sabratha-amphitheatre-001.JPG,مطابقة مؤكدة بالاسم والسياق
ميدان المصارعة1.JPG,official_center,صبراتة/ميدان المصارعة1.JPG,7c7fc13984546131c2b931bd8864fe06359d8e9fa319bde0c5907d698d55ef68,13586432,5280,3956,MPO,dup-7c7fc1398454,amphitheatre,WH-LY-002-C0045,الامفيثياتر,,high,published,مركز المعلومات والتوثيق السياحي,institutional_ownership,assets/media/LIBYA/Sabratha/published/amphitheatre/sabratha-amphitheatre-001.JPG,مطابقة مؤكدة بالاسم والسياق
صبراتة 2.jpg,existing_atlas,assets/media/LIBYA/Sabratha/صور صبراتة/صبراتة 2.jpg,222dbf8022824242a56571778c226ab51e5cb639e0f2a4c4412e21a5e1db22c0,72487,640,417,JPEG,dup-222dbf802282,main-site,WH-WORLD-C0001,موقع صبراتة الأثري,,high,published,existing_atlas_media,existing_project_asset,assets/media/LIBYA/Sabratha/published/main-site/sabratha-main-aerial-001.JPG,مطابقة مؤكدة بالاسم والسياق
sabratha-amphitheatre-001.JPG,existing_atlas,assets/media/LIBYA/Sabratha/published/amphitheatre/sabratha-amphitheatre-001.JPG,a37938d4b1cfe62204533b988828e96d018125c71a97e841dc217d0acf346eaa,13713408,5280,3956,MPO,dup-a37938d4b1cf,review-required,,,,low,review-required,existing_atlas_media,existing_project_asset,,غير مؤكدة؛ محفوظة للمراجعة
sabratha-amphitheatre-002.JPG,existing_atlas,assets/media/LIBYA/Sabratha/published/amphitheatre/sabratha-amphitheatre-002.JPG,7c7fc13984546131c2b931bd8864fe06359d8e9fa319bde0c5907d698d55ef68,13586432,5280,3956,MPO,dup-7c7fc1398454,review-required,,,,low,review-required,existing_atlas_media,existing_project_asset,,غير مؤكدة؛ محفوظة للمراجعة
sabratha-main-aerial-001.JPG,existing_atlas,assets/media/LIBYA/Sabratha/published/main-site/sabratha-main-aerial-001.JPG,eb3970495dd0618e3c722209f9701402e35eb2f992110fb65a24280039f1508e,12021760,5280,3956,MPO,dup-eb3970495dd0,review-required,,,,low,review-required,existing_atlas_media,existing_project_asset,,غير مؤكدة؛ محفوظة للمراجعة
sabratha-main-site-001.jpg,existing_atlas,assets/media/LIBYA/Sabratha/published/main-site/sabratha-main-site-001.jpg,e40fc1fcce86b63f8d1455ce4724a24d3436db4d6086790c06b215ecaed6448f,104934,800,600,JPEG,dup-e40fc1fcce86,review-required,,,,low,review-required,existing_atlas_media,existing_project_asset,,غير مؤكدة؛ محفوظة للمراجعة
sabratha-main-site-002.jpg,existing_atlas,assets/media/LIBYA/Sabratha/published/main-site/sabratha-main-site-002.jpg,9b279cab28e912618c82235b3823b21ebc3473fcfa4c607adbd0b2e8e08335f4,60018,640,411,JPEG,dup-9b279cab28e9,review-required,,,,low,review-required,existing_atlas_media,existing_project_asset,,غير مؤكدة؛ محفوظة للمراجعة
sabratha-main-site-old-001.jpg,existing_atlas,assets/media/LIBYA/Sabratha/published/main-site/sabratha-main-site-old-001.jpg,222dbf8022824242a56571778c226ab51e5cb639e0f2a4c4412e21a5e1db22c0,72487,640,417,JPEG,dup-222dbf802282,review-required,,,,low,review-required,existing_atlas_media,existing_project_asset,,غير مؤكدة؛ محفوظة للمراجعة
sabratha-punic-mausoleum-001.jpg,existing_atlas,assets/media/LIBYA/Sabratha/published/punic-mausoleum/sabratha-punic-mausoleum-001.jpg,b0b40b0dbe78ea04c12e638d9029e382538afd05490693c8c6b5ae489b03daf3,1007536,3192,1815,JPEG,dup-b0b40b0dbe78,review-required,,,,low,review-required,existing_atlas_media,existing_project_asset,,غير مؤكدة؛ محفوظة للمراجعة
sabratha-punic-mausoleum-002.jpg,existing_atlas,assets/media/LIBYA/Sabratha/published/punic-mausoleum/sabratha-punic-mausoleum-002.jpg,9b22295c56974ef94e23e614f2eb8a5aa3ccc9f7ae5dca25d873f3858133e33f,2388550,1454,2195,JPEG,dup-9b22295c5697,review-required,,,,low,review-required,existing_atlas_media,existing_project_asset,,غير مؤكدة؛ محفوظة للمراجعة
review-0286386d65.jpeg,existing_atlas,assets/media/LIBYA/Sabratha/published/review-required/review-0286386d65.jpeg,be5c5985d7584035044c9db388bfef786e18c598e7ac6f627a2842ed86700099,108988,1080,810,JPEG,dup-be5c5985d758,review-required,,,,low,review-required,existing_atlas_media,existing_project_asset,,غير مؤكدة؛ محفوظة للمراجعة
review-0a04da54ac.jpeg,existing_atlas,assets/media/LIBYA/Sabratha/published/review-required/review-0a04da54ac.jpeg,35f36ef495f1489701843e7cf793eb0d9ae2edf524d7bf0db2837d2c729749e2,82034,1080,607,JPEG,dup-35f36ef495f1,review-required,,,,low,review-required,existing_atlas_media,existing_project_asset,,غير مؤكدة؛ محفوظة للمراجعة
review-0e5631ca11.jpeg,existing_atlas,assets/media/LIBYA/Sabratha/published/review-required/review-0e5631ca11.jpeg,7fe74187db4bec69faedef65d7420a80c765b86a671d7ccf465e399df6e7c7ce,138831,1080,810,JPEG,dup-7fe74187db4b,review-required,,,,low,review-required,existing_atlas_media,existing_project_asset,,غير مؤكدة؛ محفوظة للمراجعة
review-119563b65c.jpeg,existing_atlas,assets/media/LIBYA/Sabratha/published/review-required/review-119563b65c.jpeg,885ddc4369381c6c08e55c6d91d48e1d6ad625b82b55e753bb645b5d4b78484e,80177,1080,810,JPEG,dup-885ddc436938,review-required,,,,low,review-required,existing_atlas_media,existing_project_asset,,غير مؤكدة؛ محفوظة للمراجعة
review-2e5a6a8052.jpeg,existing_atlas,assets/media/LIBYA/Sabratha/published/review-required/review-2e5a6a8052.jpeg,79a714259abbb473aeb4475673a82a8c3beecf2d552499e5fdaad06e2b95741d,56433,1080,607,JPEG,dup-79a714259abb,review-required,,,,low,review-required,existing_atlas_media,existing_project_asset,,غير مؤكدة؛ محفوظة للمراجعة
review-3646e39e8e.jpg,existing_atlas,assets/media/LIBYA/Sabratha/published/review-required/review-3646e39e8e.jpg,3ee7ec18fd8960e32a1c1ae918e6ba5d1c9a7a5b2f775e7178b92ffb5804a373,1055459,3215,1805,JPEG,dup-3ee7ec18fd89,review-required,,,,low,review-required,existing_atlas_media,existing_project_asset,,غير مؤكدة؛ محفوظة للمراجعة
review-43c51d10f6.jpeg,existing_atlas,assets/media/LIBYA/Sabratha/published/review-required/review-43c51d10f6.jpeg,8543d85120ab86d0886377648c50cf1a36d42a433be91446bce78c8a0b92bf34,95092,1080,810,JPEG,dup-8543d85120ab,review-required,,,,low,review-required,existing_atlas_media,existing_project_asset,,غير مؤكدة؛ محفوظة للمراجعة
review-44361fec7f.jpeg,existing_atlas,assets/media/LIBYA/Sabratha/published/review-required/review-44361fec7f.jpeg,33e19243eabb3dee729072e3b12870aeace549fc8394085d929a115ab8fb8e81,117111,1080,810,JPEG,dup-33e19243eabb,review-required,,,,low,review-required,existing_atlas_media,existing_project_asset,,غير مؤكدة؛ محفوظة للمراجعة
review-4923e38bb8.jpg,existing_atlas,assets/media/LIBYA/Sabratha/published/review-required/review-4923e38bb8.jpg,0ff696c7237f3719e11a7597c938755468286b6e6cf0d95412c4c5e8e28a5bb6,1110852,1412,945,JPEG,dup-0ff696c7237f,review-required,,,,low,review-required,existing_atlas_media,existing_project_asset,,غير مؤكدة؛ محفوظة للمراجعة
review-4bec7597b4.jpeg,existing_atlas,assets/media/LIBYA/Sabratha/published/review-required/review-4bec7597b4.jpeg,45d3d3d92abb853bd0bfa803f628570541f6ff3139a4e68dd3cc7b0cde9c03aa,87999,1080,719,JPEG,dup-45d3d3d92abb,review-required,,,,low,review-required,existing_atlas_media,existing_project_asset,,غير مؤكدة؛ محفوظة للمراجعة
review-569dd8105b.jpeg,existing_atlas,assets/media/LIBYA/Sabratha/published/review-required/review-569dd8105b.jpeg,9716ec8858b9c46b7ee7f7b8f46d974ab6d401aca3549394a94b59257bd46e80,106699,1080,810,JPEG,dup-9716ec8858b9,review-required,,,,low,review-required,existing_atlas_media,existing_project_asset,,غير مؤكدة؛ محفوظة للمراجعة
review-57ad4f2c65.jpeg,existing_atlas,assets/media/LIBYA/Sabratha/published/review-required/review-57ad4f2c65.jpeg,4ca3ffb2019318df3c83531a5caa2f5f6eff7a7eec5a511ab893d8767e354a32,138785,1080,740,JPEG,dup-4ca3ffb20193,review-required,,,,low,review-required,existing_atlas_media,existing_project_asset,,غير مؤكدة؛ محفوظة للمراجعة
review-7adbb00cab.jpeg,existing_atlas,assets/media/LIBYA/Sabratha/published/review-required/review-7adbb00cab.jpeg,eccf6b71be56c86166401780e2402b7ff8fb439babc0499406fcf7dc211dd913,118588,719,1080,JPEG,dup-eccf6b71be56,review-required,,,,low,review-required,existing_atlas_media,existing_project_asset,,غير مؤكدة؛ محفوظة للمراجعة
review-822f3ba232.jpeg,existing_atlas,assets/media/LIBYA/Sabratha/published/review-required/review-822f3ba232.jpeg,b64f20b172d39393efde759f0634263baafb92bd21bb9bdb0dae6eb2411ce6d0,168348,1080,810,JPEG,dup-b64f20b172d3,review-required,,,,low,review-required,existing_atlas_media,existing_project_asset,,غير مؤكدة؛ محفوظة للمراجعة
review-8623ee6ba4.jpeg,existing_atlas,assets/media/LIBYA/Sabratha/published/review-required/review-8623ee6ba4.jpeg,5064cefce1d56fa525e4736a1268e9bf8362956b82462b6e5f1af9c89d1465be,140391,1080,810,JPEG,dup-5064cefce1d5,review-required,,,,low,review-required,existing_atlas_media,existing_project_asset,,غير مؤكدة؛ محفوظة للمراجعة
review-999071cb78.jpeg,existing_atlas,assets/media/LIBYA/Sabratha/published/review-required/review-999071cb78.jpeg,63d90877d817c844550d8bd658b831902afa3b5f46856af023de5593b3381164,110208,1080,810,JPEG,dup-63d90877d817,review-required,,,,low,review-required,existing_atlas_media,existing_project_asset,,غير مؤكدة؛ محفوظة للمراجعة
review-a365c04152.jpeg,existing_atlas,assets/media/LIBYA/Sabratha/published/review-required/review-a365c04152.jpeg,cde16931e4188669990933393c2af01813d78b49d3bd30f8a948dd661edd42b7,103099,1080,810,JPEG,dup-cde16931e418,review-required,,,,low,review-required,existing_atlas_media,existing_project_asset,,غير مؤكدة؛ محفوظة للمراجعة
review-b4428ee008.jpeg,existing_atlas,assets/media/LIBYA/Sabratha/published/review-required/review-b4428ee008.jpeg,c66222d8162179ac4c65cea6b0222b2be79039a0dee5f189dd0a5f282733a7fd,146710,1080,810,JPEG,dup-c66222d81621,review-required,,,,low,review-required,existing_atlas_media,existing_project_asset,,غير مؤكدة؛ محفوظة للمراجعة
review-c1a4c48ff8.jpeg,existing_atlas,assets/media/LIBYA/Sabratha/published/review-required/review-c1a4c48ff8.jpeg,7a2f06d9772faf06005d514b7d2d2e53430712b09e53b20c9c1646d9b59d0155,110363,810,1080,JPEG,dup-7a2f06d9772f,review-required,,,,low,review-required,existing_atlas_media,existing_project_asset,,غير مؤكدة؛ محفوظة للمراجعة
