action_id,feature_id,layer_id,name_ar,city_ar,municipality_ar,priority,review_reason_codes,field_or_issue,current_value,required_value,required_action,evidence_available,source_reference,collection_method,verification_method,responsible_entity_required,supporting_entities,deadline_category,publication_impact,status,notes
ACT-00011,LY-FNB-RES-TRI-00032,tripoliRestaurants,أيلا كافي,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-restaurants.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00012,LY-FNB-RES-TRI-00033,tripoliRestaurants,لاتينو,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-restaurants.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00013,LY-FNB-RES-TRI-00035,tripoliRestaurants,إنديامو,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-restaurants.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00015,LY-FNB-RES-TRI-00049,tripoliRestaurants,مقهى البريوشة,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-restaurants.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00016,LY-FNB-RES-TRI-00060,tripoliRestaurants,Lavina House,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-restaurants.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00017,LY-FNB-RES-TRI-00066,tripoliRestaurants,برانش كافي - برنش كافيه,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-restaurants.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00018,LY-FNB-RES-TRI-00071,tripoliRestaurants,ديفيو سبان,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-restaurants.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00019,LY-FNB-RES-TRI-00075,tripoliRestaurants,شيزي زياد فرع زناتة,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-restaurants.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00047,LY-FNB-CAF-TRI-00029,tripoliCafes,Milka Ly,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00065,LY-FNB-CAF-TRI-00047,tripoliCafes,دكتور كيف,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00081,LY-FNB-CAF-TRI-00063,tripoliCafes,اوميجا كلوب,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00083,LY-FNB-CAF-TRI-00065,tripoliCafes,ثراء,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00084,LY-FNB-CAF-TRI-00066,tripoliCafes,ديب ان ديب ليبيا,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00087,LY-FNB-CAF-TRI-00069,tripoliCafes,شيك أب,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00089,LY-FNB-CAF-TRI-00071,tripoliCafes,ساموراي,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00105,LY-FNB-CAF-TRI-00087,tripoliCafes,AVERO,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00109,LY-FNB-CAF-TRI-00091,tripoliCafes,Covim Tripoli,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00116,LY-FNB-CAF-TRI-00098,tripoliCafes,ميدي محار النوفليين,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00120,LY-FNB-CAF-TRI-00102,tripoliCafes,مطعم تقسيم جرابة,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00121,LY-FNB-CAF-TRI-00103,tripoliCafes,مطعم زاوية الدهمانى,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00133,LY-FNB-CAF-TRI-00115,tripoliCafes,Gourmandise قورمانديز حي الاندلس,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00137,LY-FNB-CAF-TRI-00119,tripoliCafes,SMASH Burger | سماش برجر,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00138,LY-FNB-CAF-TRI-00120,tripoliCafes,BigChefs,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00139,LY-FNB-CAF-TRI-00121,tripoliCafes,لوس أندلس حي الأندلس Los Andalos Hay Alandalos,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00140,LY-FNB-CAF-TRI-00122,tripoliCafes,Alzad Allibi for Catering Services - الزاد الليبي,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00142,LY-FNB-CAF-TRI-00124,tripoliCafes,تاكوس قريل,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00143,LY-FNB-CAF-TRI-00125,tripoliCafes,شنابو جنزور,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00145,LY-FNB-CAF-TRI-00127,tripoliCafes,بيتزا بولبو,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00152,LY-FNB-CAF-TRI-00134,tripoliCafes,Mando Fastfood Janzur ماندو جنزور,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00153,LY-FNB-CAF-TRI-00135,tripoliCafes,الخيمة برجر - جنزور,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00159,LY-FNB-CAF-TRI-00141,tripoliCafes,كاسترو للوجبات السريعة,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00160,LY-FNB-CAF-TRI-00142,tripoliCafes,بلبن فرع السياحية,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00162,LY-FNB-CAF-TRI-00144,tripoliCafes,نوتيلا السياحيه,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00164,LY-FNB-CAF-TRI-00146,tripoliCafes,DOPAMIN,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00167,LY-FNB-CAF-TRI-00149,tripoliCafes,مطحن بُـن تــوبـاز 3 - السراج,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00168,LY-FNB-CAF-TRI-00150,tripoliCafes,Snake KOFFE,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00171,LY-FNB-CAF-TRI-00153,tripoliCafes,FoodPoint فود بوينت,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00173,LY-FNB-CAF-TRI-00155,tripoliCafes,مطعم صفيحة ترابزون - Trabzon Pidesi,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00174,LY-FNB-CAF-TRI-00156,tripoliCafes,Kudo,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00179,LY-FNB-CAF-TRI-00161,tripoliCafes,Black and white,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00180,LY-FNB-CAF-TRI-00162,tripoliCafes,كارفي حي الاندلس,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00183,LY-FNB-CAF-TRI-00165,tripoliCafes,إسبريسو لاب,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00186,LY-FNB-CAF-TRI-00168,tripoliCafes,قوست برقر _ Ghost burger,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00187,LY-FNB-CAF-TRI-00169,tripoliCafes,كشك الهمبورقا عمر المختار,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00188,LY-FNB-CAF-TRI-00170,tripoliCafes,Smash Craft Burger سماش كرافت برجر,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
ACT-00190,LY-FNB-CAF-TRI-00172,tripoliCafes,مطعم 4 You,طرابلس,طرابلس,P2,classification_review|license_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tripoli-cafes.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",وزارة السياحة والصناعات التقليدية,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,next_review_cycle,quality,open,"Entity is required for completion, not asserted as the current source."
