action_id,feature_id,layer_id,name_ar,city_ar,municipality_ar,priority,review_reason_codes,field_or_issue,current_value,required_value,required_action,evidence_available,source_reference,collection_method,verification_method,responsible_entity_required,supporting_entities,deadline_category,publication_impact,status,notes
ACT-00558,LY-INV-REV-NAT-00006,investment,الفتح,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00559,LY-INV-REV-NAT-00007,investment,Hotel Haroun 2,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00560,LY-INV-REV-NAT-00008,investment,زهرة الشمس,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00561,LY-INV-REV-TRI-00004,investment,الحبايب,طرابلس,طرابلس,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00562,LY-INV-REV-TRI-00005,investment,الفخامه للشقق المفروشه,طرابلس,طرابلس,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00563,LY-INV-REV-NAT-00009,investment,اوس لشقق المفروشه,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00564,LY-INV-REV-NAT-00010,investment,نزل وقاعة زهرة الخليج,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00565,LY-INV-REV-NAT-00011,investment,أبوزاهية,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00566,LY-INV-REV-NAT-00012,investment,زعفران,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00567,LY-INV-REV-NAT-00013,investment,القبيبة,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00568,LY-INV-REV-NAT-00014,investment,سلطان,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00569,LY-INV-REV-NAT-00015,investment,النقازة,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00570,LY-INV-REV-NAT-00016,investment,غنيمة,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00571,LY-INV-REV-NAT-00017,investment,فلفول,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00572,LY-INV-REV-NAT-00018,investment,فيللا سيلين,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00573,LY-INV-REV-NAT-00019,investment,قريم,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00574,LY-INV-REV-NAT-00020,investment,الطويبية,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00575,LY-INV-REV-NAT-00021,investment,هانيبال,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00576,LY-INV-REV-NAT-00022,investment,ماتشوك,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00577,LY-INV-REV-NAT-00023,investment,ملليتة-2,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00578,LY-INV-REV-NAT-00024,investment,ملليتة-1,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00579,LY-INV-REV-NAT-00025,investment,تلليل-غرب,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00580,LY-INV-REV-NAT-00026,investment,تلليل-شرق,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00581,LY-INV-REV-NAT-00027,investment,الجرف,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00582,LY-INV-REV-NAT-00028,investment,صرمان,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00583,LY-INV-REV-NAT-00029,investment,المطرد,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00584,LY-INV-REV-NAT-00030,investment,السياحية,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00585,LY-INV-REV-NAT-00031,investment,أوياء,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00586,LY-INV-REV-NAT-00032,investment,جنزور-1,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00587,LY-INV-REV-NAT-00033,investment,جنزور-2,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00588,LY-INV-REV-NAT-00034,investment,جنزور-3,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00589,LY-INV-REV-NAT-00035,investment,سيدي عبدالجليل-1,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00590,LY-INV-REV-NAT-00036,investment,سيدي عبدالجليل-2,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00591,LY-INV-REV-NAT-00037,investment,سيدي عبدالجليل-3,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00592,LY-INV-REV-NAT-00038,investment,سيدي عبدالجليل-4,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00593,LY-INV-REV-NAT-00039,investment,سيدي عبدالجليل-5,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00594,LY-INV-REV-NAT-00040,investment,سيدي عبدالجليل-6,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00595,LY-INV-REV-TRI-00006,investment,محطة غرب طرابلس,طرابلس,طرابلس,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00596,LY-INV-REV-NAT-00041,investment,مصيف جربة,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00597,LY-INV-REV-NAT-00042,investment,مصيف جنزور-1,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00598,LY-INV-REV-NAT-00043,investment,مصيف جنزور-2,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00599,LY-INV-REV-NAT-00044,investment,الغيران,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00600,LY-INV-REV-NAT-00045,investment,حي الأندلس-2,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00601,LY-INV-REV-NAT-00046,investment,حي الأندلس-1,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00602,LY-INV-REV-NAT-00047,investment,الدلفين,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
ACT-00603,LY-INV-REV-NAT-00048,investment,النادي البحري,,,P1,classification_review|license_review|investment_legal_review|investment_financial_review|ownership_review|infrastructure_review,Multiple reasons,review_required,verified official value or documented not_available,institutional verification of flagged fields,true,data/incoming/tourism-investment-projects.kml,authoritative registry or direct verification,"official document, registry entry, or authorized written confirmation",إدارة الاستثمار,وزارة السياحة؛ البلدية؛ الجهة المالكة حسب الاختصاص,immediate,blocking,open,"Entity is required for completion, not asserted as the current source."
