feature_id,facility_name_ar,image_id,current_rights_status,likely_rights_holder,evidence_available,required_confirmation,recommended_contact,publication_blocker,priority,notes
LY-HOT-000040,فندق البركة,IMG-4C26C96431EC63BA,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000041,فندق البستان,IMG-A3FECBDF161B5CCE,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000042,التاج للشقق الفندقية,IMG-C6DFB6BFEF341C5D,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000045,فندق جوهرة صبراتة السياحي,IMG-2A5F837F7840D805,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000046,فندق الجوهرة الزاوية,IMG-2AE0615B4101D7F4,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000049,فندق الخان الطرابلسي,IMG-C7239FBDF94ED0B0,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000050,فندق الخليج,IMG-B51A8889CBB17DA7,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000051,فندق الدبلوماسي,IMG-9A077AB897E06613,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000053,فندق الديار,IMG-76FF508F0B7A8565,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000054,فندق الرابطة,IMG-5A8F81B9322E3F57,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000055,فندق الرفيع,IMG-C75C7E18E8905149,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000056,فندق الريان,IMG-67A5A64E322D0F37,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000057,فندق الزهر,IMG-B7DE3703E4372DC6,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000058,فندق الزيتونة,IMG-63F705E27DA71CF5,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000059,فندق السرايا,IMG-12604B3B51DF48AE,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000060,فندق زوارة,IMG-529535B1FF6858C1,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000061,فندق السندباد,IMG-1FEA6DD92699F439,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000062,فندق الشجرة,IMG-20030B09B95C21F0,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000064,فندق الشمس,IMG-301D258252D7F3D2,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000065,فندق الصفوة,IMG-FC2F7E0A509C8E80,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000066,فندق الصناعية مصراتة,IMG-07D179D8F1F3B4C8,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000067,فندق الصولجان,IMG-506CFAE19599447E,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000068,فندق العاصمة,IMG-2754AC0FDB2BC23D,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000071,فندق القوس,IMG-8F2297D7FBB16C96,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000072,فندق الكبير,IMG-0FA01A3B05B019A0,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000074,فندق الماسة,IMG-5F1F8C35419379DF,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000075,فندق المتوسط,IMG-4F0A3CE02FA1B883,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000077,فندق المشكاة,IMG-31E0CFFABE88906C,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000078,فندق المنامة,IMG-F83777E607F937D9,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000079,فندق النخلة,IMG-280C1B178E8D3CFF,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000080,فندق النقازة الخمس,IMG-03FE1BFC24DF7657,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000081,فندق النهر,IMG-00DF5A97DE0DCF00,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000084,فندق الواحات,IMG-612CCDBF36460E46,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000085,فندق الياسمين,IMG-477F3B49EC08BB94,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000086,فندق أجنحة قرطاج,IMG-F7EC6271B650752B,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000088,فندق بنت السيد,IMG-599C8099E31AA502,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000090,فندق بيت الأمان,IMG-51AB10EF4C188BE1,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000091,فندق بيت الشرق,IMG-EF3B1425ACE980F9,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000093,لانكاستر برج الحياة ( ماريوت سابقا),IMG-CB4676B3E9A8B840,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000094,فندق دار غدامس,IMG-7AC07FEBBAB341ED,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000095,فندق ديار الهناء,IMG-92E4F00620C05EFB,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000096,فندق ليبوس,IMG-F9F53CED1C50A8BD,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000097,فندق ريكسوس,IMG-0D74F9F296DF86DD,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000098,فندق زليتن,IMG-C8F2AC0814DA6F5B,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000099,فندق زميت,IMG-9F297B4C0B40C957,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000100,فندق زوارة,IMG-50C88BA946BC9961,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000102,فندق سفاري,IMG-055271F1382E9D5A,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000103,فندق سفاري 2,IMG-5FD7D29019D53E4A,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000105,فندق ضيافة ونيس,IMG-9D9788DF5F512236,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000106,فندق طرابلس الدولي,IMG-473D64CC0B4F095E,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000107,فندق طليطلة,IMG-6580CB7EB805DFF0,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000108,فندق طيبة,IMG-60AE2A53516D38B5,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000109,فندق عمير,IMG-14E7A433C1AA23C9,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000110,فندق عين الفرس,IMG-DA0ECA578123941F,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000112,فندق غريان السياحي,IMG-6BCB30EA9DC9D585,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000113,فندق قرطاج,IMG-046EDC55FFD15293,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000114,فندق قصر الظهرة,IMG-9177C7EFBB2B6B7C,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000115,فندق قصر الفيروز,IMG-110FEF464D2C395F,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000116,فندق قمر صبراتة,IMG-418C257283B4249C,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000118,فندق لبدة السياحي الخمس,IMG-67129E3029742E03,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000119,فندق ليالي قرطاج,IMG-E6FB468A34553F69,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000120,فندق ليبيا,IMG-E154B829B141A067,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000121,فندق مادي الحسان,IMG-433F949188978281,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000123,فندق ومطعم الامتياز,IMG-4CC4FED28261BA62,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000125,فندق يفرن,IMG-E62FE6C2A48E1957,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000128,فندق الثريا السياحي,IMG-8D254ED37F12A687,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000130,فندق البتراء,IMG-274B8FDFA79EB046,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000131,فندق البردي,IMG-BD576D6C7A28616B,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000132,فندق التلال,IMG-E4F857A3669A2646,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000134,فندق الجغبوب,IMG-8084340B4BB7CB22,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000135,فندق الجلاء,IMG-94025569E10A3EC8,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000137,فندق الخان الطرابلسي,IMG-692D357EF64EECF5,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000138,فندق الرحاب,IMG-29F498B195A17DAE,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000143,فندق ابن الرومي,IMG-C04C7358AE4C64F2,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000145,فندق الحياة,IMG-4F1BF241FA1C1032,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000148,فندق العوينات,IMG-1E9790A7A8F159ED,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000150,فندق الفضيل,IMG-03C03752D4FFB0D9,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000151,فندق الفضيل رأس لانوف,IMG-7408B0FEE6E15B14,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000152,فندق الفلك,IMG-E3245A512704B018,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000154,فندق القلعة,IMG-4DE50FE5C77F11DC,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000155,فندق الكاظم,IMG-C1A63B7C18A696CC,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000157,فندق المبروك,IMG-65010E3F7285D3C4,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000158,فندق المتوسط الخمس,IMG-4F0A3CE02FA1B883,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000160,فندق المدينة,IMG-4ECEDB1678C21ED6,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000163,فندق المرج السياحي,IMG-4D69B0877B8F026F,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000164,فندق المسيرة,IMG-36DA0CCAB2BCB61C,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000166,فندق المغرب العربي,IMG-D345EAAFD727F3C0,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000169,فندق النخلة السياحي,IMG-87993A1E3CB548BA,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000171,فندق النوران,IMG-1DBC5EAF16A5E4BE,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000181,فندق اليمامة,IMG-ED94159E9BC6C717,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000187,فندق أفريقيا,IMG-3B56150C8DAA5F16,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000190,فندق أمال ليبيا,IMG-2F048837E230F91F,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000193,فندق باب البحر,IMG-A3170ECA96244672,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000196,فندق بلازما,IMG-5FE1ABA6DADBA795,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000201,فندق توباكتس,IMG-00D26D8EDC613DDE,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000209,فندق ديار الهناء,IMG-23AE35FD4B853F4A,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000221,فندق سفيروس الخمس,IMG-7D1036F871E7B856,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000223,فندق صحارى ليبيا,IMG-5255F49255B9CDBC,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000268,فندق الفصول الاربعة 3,IMG-674C0626690A6B84,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000273,فندق النعيم,IMG-07823DE59E73877A,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000275,فندق الفصول الاربعة 2,IMG-AB2F785A48F45260,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000276,فندق السفير,IMG-E240158CEC65F3C9,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000277,فندق نور الثريا,IMG-4D715E6F645A91E4,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000278,فندق الشاطئ الذهبى,IMG-3143393C3BB12C6B,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000279,فندق الصافي,IMG-D58DFEE97D5305FF,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000281,فندق الفصول الابعة 1,IMG-D0E4C14FEF216C2C,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000282,فندق سفارى,IMG-BED506EA5E4A268B,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000283,فندق زهرة الخليج,IMG-F3E648AD7CE0F676,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000284,فندق السلاسل الذهبية,IMG-FD63377BEAD728F4,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000295,فندق تاج,IMG-AB22C6D40D93616F,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000297,فندق أضواء قرطاج,IMG-4B501E6BBD73EAFE,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000305,فندق الغزالة,IMG-23317BED444CE147,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000307,فندق الديوان,IMG-B957081BDFD31AD9,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000314,فندق السرايا,IMG-B9573C8C7FB931A8,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000318,الحبايب,IMG-C342E390F07568AB,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000319,هوم بلازا_للشقق الفندقية,IMG-FB95B3497C1F55CA,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000320,فندق الرحال,IMG-007802D9BC5D755F,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000321,الوادي 2 للشقق الفندقية,IMG-6114B601BF0B1A8C,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000322,الأطلس للشقق الفندقية,IMG-8E4486514CFFA7F7,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000323,فندق بيزا السياحي,IMG-7C37736A8EF80145,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000324,فندق قوز التيك,IMG-F11E4A59FEBF8315,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000331,فندق الراحة اجدابيا,IMG-844AB3082A456BFB,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000332,عمار او المجد للشقق الفندقية,IMG-C1AE737C120905FA,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000333,فندق مزايا اجدابيا,IMG-D93EABF8C6526D6E,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000334,فندق التوجان السياحي,IMG-35322FD32CA106B6,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000335,نزل وقاعة الهاشمي,IMG-C99CB2EDA0546E4A,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
LY-HOT-000336,نزل وقاعة زهرة الخليج,IMG-9B0A5BE0E41F60DC,unknown,unknown,none in local rights register,documented permission or institutional source record,facility_management,true,A,Likely holder is not ownership evidence.
