id,name_ar,quality_status,completeness_percent,missing_fields,review_status,notes
LY-FNB-CAF-TRI-00001,كافي 92,medium,55,district|opening_hours|services|license|image,integrated,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00043,FIFTY CAFE,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00044,Elon Cafe,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00045,عصائر بي?اندا,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00046,Café Solo,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00047,دكتور كيف,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00048,Commercial Caffe,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00049,مقهى الجسر,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00050,PALMS CAFE,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00051,مقهى التومى,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00052,مقهي باديه,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00053,المقهى الرئاسي,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00054,مقهي عين زاره,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00055,Atomo Cafe,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00056,Bono Cafe,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00057,كافي أربن,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00058,Mio Caffe and Resto,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00059,Tripoli Tur café,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00060,كافيه ميدان الجزائر,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00061,Cafe Bali,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00062,حلويات اتش دبليو,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00063,اوميجا كلوب,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00064,قهوة القصور,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00065,ثراء,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00066,ديب ان ديب ليبيا,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00067,فيول كافي,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00068,كافي سويت,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00069,شيك أب,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00070,الحاج فتحي,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00071,ساموراي,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00072,مقهى ومطعم فلانيل,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00073,بونو كافيه,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00074,مقهى رواق الوليد,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00075,1ONE DEGREE CAFE,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00076,كافي 33,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00077,Doctor Sweets,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00078,مقهى عصام,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00079,بولو كافي,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00080,براند كافي,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00081,روبوستا كافي,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00082,CAFE EXPRESSO,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00083,مقهى الفنانين,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00084,مقهى العبسي,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00085,مقهي هوقو,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00086,مقهي مستر بودينق,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00087,AVERO,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00088,كافي فيتوريا,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00089,مقهى الركن السياحي ( مقهى ارقيلة شيشة ),low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00090,حلويات شهرزاد,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00091,Covim Tripoli,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00092,Cafe Adam,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00093,NOTA cafe,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00094,مقهى الدغيس,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00095,كافي كافا,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00096,مقهي الكشك,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00097,Country Boy Cafe,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00098,ميدي محار النوفليين,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00099,مقهى الفانوس,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00100,مقهى مانقو السياحية,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00101,لاشيتا كافي,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00102,مطعم تقسيم جرابة,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00103,مطعم زاوية الدهمانى,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00104,كيمو كافي السياحيه,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00105,قهوة 11,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00106,مقهى لاكارايا,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00107,كافيه كديلك,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00108,كافي716,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00109,البيك للحلويات والعصائر,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00110,مقهى ميرال,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00111,كافي موتشي Cafe Motche,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00112,كافي مناف Manaf Cafe,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00113,كافي شمس الأندلس,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00114,كافي لوقانو lugano,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00115,Gourmandise قورمانديز حي الاندلس,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00116,JOE & THE JUICE LIBYA,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00117,الحاج فتحي,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00118,هافانا للعصائر,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00119,SMASH Burger | سماش برجر,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00120,BigChefs,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00121,لوس أندلس حي الأندلس Los Andalos Hay Alandalos,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00122,Alzad Allibi for Catering Services - الزاد الليبي,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00123,Lotche Cafe - مقهى لوتشي,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00124,تاكوس قريل,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00125,شنابو جنزور,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00126,مقهى البناني,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00127,بيتزا بولبو,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00128,الحاج فتحي - جنزور,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00129,De keyff cafe,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00130,WM JTV Cafe,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00131,مقهى الكروان,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00132,كافي المشتل,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00133,DK COFFEE,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00134,Mando Fastfood Janzur ماندو جنزور,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00135,الخيمة برجر - جنزور,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00136,مقهى المشتل,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00137,Be one cafe بي وان كافي,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00138,قهوة حاتم,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00139,Cafe 717,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00140,حلويات موزارت - السياحية,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00141,كاسترو للوجبات السريعة,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00142,بلبن فرع السياحية,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00143,مقهى بيتزا الفورنو غوط الشعال,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00144,نوتيلا السياحيه,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00145,مقهى - السراج,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00146,DOPAMIN,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00147,Aws coffee,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00148,A K Caffee,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00149,مطحن بُـن تــوبـاز 3 - السراج,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00150,Snake KOFFE,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00151,مطحن الاجم لتحميص وطحن القهوة ومستلزمات المطاحن والمقاهي,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00152,كافي أبوسنينة,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00153,FoodPoint فود بوينت,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00154,نادي القهوة Club café,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00155,مطعم صفيحة ترابزون - Trabzon Pidesi,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00156,Kudo,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00157,O2 Café,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00158,مقهى هارون - حي الأندلس,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00159,ORANGE COFFEE,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00160,حلويات العسال,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00161,Black and white,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00162,كارفي حي الاندلس,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00163,مقهى اداليا,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00164,Wees Cafe - ويس كافي,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00165,إسبريسو لاب,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00166,عصير تايم,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00167,مقهى آلينور,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00168,قوست برقر _ Ghost burger,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00169,كشك الهمبورقا عمر المختار,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00170,Smash Craft Burger سماش كرافت برجر,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00171,حلويات زهرة المدائن,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00172,مطعم 4 You,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00173,نوتيلا شارع النصر,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00174,مطعم طعميه ضوء,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00175,طعمية فرش - شارع سليمان الباروني,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00176,Green Cafe,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00177,شارع الجلاء,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00178,مقهي ابناء عشيبة للسندوتشات,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00179,AsROMA Caffee,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00180,مطعم سديم للمأكولات السريعة,low,18,classification|district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
LY-FNB-CAF-TRI-00181,مقهي البيادر.مشاوي علي للفحم,low,27,district|address|phone|website|opening_hours|services|license|image,review_required,Complete official fields; verify ambiguous classifications
